"COMMUNICATION ARTS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","",""
"","100
004","11","3.273","45.5","27.3","9.1","9.1",".",".","9.1",".",".",".",".",".",".",".",".","."
"","100
005","10","3.550","50.0","20.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","100
006","8","3.688","62.5","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","100
007","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
010","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
011","12","3.375","33.3","33.3","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","100
012","13","3.731","53.8","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
013","8","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
014","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
017","13","3.615","46.2","30.8","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
018","13","3.615","61.5","15.4","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","100
019","13","3.615","46.2","38.5","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
020","13","3.231","38.5","23.1","23.1","7.7",".",".","7.7",".",".",".",".",".",".",".",".","."
"","100
024","13","3.500","46.2","38.5",".",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"","100
025","9","3.333","33.3","22.2","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"","100
026","11","3.455","45.5","18.2","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","100
027","9","3.111","33.3","11.1","22.2","11.1","22.2",".",".",".",".",".",".",".",".",".",".","."
"","100
029","9","3.000","44.4","11.1","11.1","11.1",".","22.2",".",".",".",".",".",".",".",".",".","."
"","100
033","12","3.292","50.0","16.7",".","25.0",".","8.3",".",".",".",".",".",".",".",".",".","."
"","100
034","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
035","14","3.464","28.6","42.9","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","100
036","15","3.700","53.3","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
037","14","3.714","50.0","42.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
038","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
040","15","3.833","73.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
041","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
042","14","3.714","92.9",".",".",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","100
044","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
045","14","3.750","85.7",".",".","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","100
046","15","3.100","13.3","46.7","20.0","13.3",".",".","6.7",".",".",".",".",".",".",".",".","."
"","100
101","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Speech Composition","Course Total","361","3.571","55.1","24.7","10.8","5.3","1.9","0.8","1.4",".",".",".",".",".",".",".",".","."
"Intro-Digital Media Production","155
001","118","3.860","78.0","18.6","1.7","0.8","0.8",".",".",".",".",".",".",".",".",".",".","."
"Intro to Digital Communication","200
001","118","3.927","93.2","3.4","0.8","0.8",".",".","0.8","0.8",".",".",".",".",".",".",".","."
"Survey of Contemporary Media","250
001","149","3.168","18.8","36.9","22.1","9.4","6.7","2.7","1.3","2.0",".",".",".",".",".",".",".","."
"Communication & Human Behav","260
001","171","3.640","59.6","24.0","8.2","4.7","2.3","0.6","0.6",".",".",".",".",".",".",".",".","."
"Thry&Pract-Argument&Debate","262
001","89","3.663","68.5","13.5","7.9","6.7","2.2",".","1.1",".",".",".",".",".",".",".",".","."
"Intro-Interpersonal Com","272
001","138","3.147","26.1","25.4","21.0","13.8","9.4","0.7","2.2",".",".",".",".",".","1.4",".",".","."
"Film Comedy","300
001","116","3.300","23.3","26.7","12.9","7.8","5.2","0.9","0.9","22.4",".",".",".",".",".",".",".","."
"","310
001","14","2.929","35.7","14.3","21.4",".","14.3","7.1","7.1",".",".",".",".",".",".",".",".","."
"","310
002","54","3.648","61.1","22.2","11.1",".","3.7","1.9",".",".",".",".",".",".",".",".",".","."
"Topics: Rhetoric & Com Science","Course Total","68","3.500","55.9","20.6","13.2",".","5.9","2.9","1.5",".",".",".",".",".",".",".",".","."
