"ANATOMY & PHYSIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"146
ANAT&PHY","","","","","","","","","","","","","","","","","","",""
"Human Physiology and Health","235
001","75","3.160","28.0","18.7","29.3","10.7","12.0",".","1.3",".",".",".",".",".",".",".",".","."
"","335
001","31","3.177","48.4","6.5","16.1","9.7","12.9","3.2","3.2",".",".",".",".",".",".",".",".","."
"","335
003","22","3.182","40.9","9.1","31.8","9.1",".","4.5","4.5",".",".",".",".",".",".",".",".","."
"","335
004","47","3.170","46.8","4.3","21.3","8.5","10.6","8.5",".",".",".",".",".",".",".",".",".","."
"","335
005","20","3.050","35.0",".","30.0","20.0","10.0","5.0",".",".",".",".",".",".",".",".",".","."
"","335
006","42","3.036","31.0","7.1","35.7","9.5","7.1","9.5",".",".",".",".",".",".",".",".",".","."
"","335
007","22","3.227","36.4","4.5","36.4","13.6","9.1",".",".",".",".",".",".",".",".",".",".","."
"","335
009","21","3.595","52.4","14.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","335
010","45","3.267","42.2","15.6","20.0","11.1","4.4","6.7",".",".",".",".",".",".",".",".",".","."
"","335
011","20","3.400","60.0","10.0","10.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".","."
"","335
012","44","2.705","27.3","4.5","20.5","9.1","22.7","15.9",".",".",".",".",".",".",".",".",".","."
"","335
013","13","3.115","23.1","15.4","30.8","23.1","7.7",".",".",".",".",".",".",".",".",".",".","."
"","335
014","24","2.958","37.5","4.2","20.8","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".","."
"","335
015","25","3.140","36.0","8.0","28.0","12.0","12.0","4.0",".",".",".",".",".",".",".",".",".","."
"","335
016","23","2.674","13.0","8.7","26.1","13.0","34.8","4.3",".",".",".",".",".",".",".",".",".","."
"","335
017","28","2.964","32.1","10.7","17.9","10.7","25.0",".","3.6",".",".",".",".",".",".",".",".","."
"","335
018","24","3.104","37.5","4.2","29.2","16.7","8.3",".","4.2",".",".",".",".",".",".",".",".","."
"Physiology","Course Total","451","3.094","37.7","7.8","24.8","11.1","11.5","6.2","0.9",".",".",".",".",".",".",".",".","."
"","337
001","193","3.130","34.7","18.7","18.1","12.4","8.8","4.1","2.6",".",".",".",".",".","0.5",".",".","."
"","337
002","188","3.154","31.9","21.8","20.2","8.5","11.7","1.1","3.2","0.5",".",".",".",".",".",".","1.1","."
"Human Anatomy","Course Total","381","3.142","33.3","20.2","19.2","10.5","10.2","2.6","2.9","0.3",".",".",".",".","0.3",".","0.5","."
"","338
001","31","3.323","51.6","16.1","9.7","9.7","6.5","3.2","3.2",".",".",".",".",".",".",".",".","."
"","338
002","32","3.469","46.9","21.9","18.8","9.4",".","3.1",".",".",".",".",".",".",".",".",".","."
"","338
003","32","3.375","40.6","21.9","25.0","3.1","6.3","3.1",".",".",".",".",".",".",".",".",".","."
"","338
004","29","3.357","44.8","20.7","13.8","6.9","3.4","6.9",".",".",".",".",".",".","3.4",".",".","."
"","338
005","32","3.406","43.8","28.1","12.5","3.1","9.4","3.1",".",".",".",".",".",".",".",".",".","."
"","338
006","30","3.200","43.3","16.7","10.0","10.0","13.3","6.7",".",".",".",".",".",".",".",".",".","."
"","338
007","29","3.069","41.4","20.7","10.3","6.9","3.4","13.8","3.4",".",".",".",".",".",".",".",".","."
"","338
008","30","3.767","70.0","16.7","10.0","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"","338
009","26","3.154","38.5","15.4","15.4","7.7","19.2","3.8",".",".",".",".",".",".",".",".",".","."
"Human Anatomy Laboratory","Course Total","271","3.352","46.9","19.9","14.0","6.6","6.6","4.8","0.7",".",".",".",".",".","0.4",".",".","."
"Independent Study","399
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fund of Human Physiology","435
001","96","3.146","45.8","10.4","18.8","4.2","10.4","7.3","3.1",".",".",".",".",".",".",".",".","."
"Independent Study","699
003","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
