"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","",""
"","400
004","17","3.324","35.3","23.5","29.4","5.9",".","5.9",".",".",".",".",".",".",".",".",".","."
"","400
006","27","3.222","25.9","22.2","29.6","14.8","7.4",".",".",".",".",".",".",".",".",".",".","."
"","400
007","11","3.409","36.4","18.2","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","400
008","8","3.188","25.0","12.5","50.0",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Topics in Biology","Course Total","102","3.396","44.1","14.7","28.4","6.9","4.9","1.0",".",".",".",".",".",".",".",".",".","."
"Evolutionary Biology","410
001","54","3.343","40.7","18.5","22.2","5.6","13.0",".",".",".",".",".",".",".",".",".",".","."
"Genetics of Human History","415
001","32","3.828","81.3","12.5",".","3.1","3.1",".",".",".",".",".",".",".",".",".",".","."
"General Ecology","460
001","17","2.588","5.9","5.9","41.2","17.6","23.5",".","5.9",".",".",".",".",".",".",".",".","."
"Intro to Animal Development","470
001","42","3.286","31.0","23.8","28.6","4.8","11.9",".",".",".",".",".",".",".",".",".",".","."
"Plant-Insect Interactions","473
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergrad Neurobiology Seminar","500
001","131","3.840","87.0","6.1","3.1",".","2.3","0.8","0.8",".",".",".",".",".",".",".",".","."
"Ecology of Fishes","510
001","63","3.437","57.1","4.8","25.4",".","11.1",".","1.6",".",".",".",".",".",".",".",".","."
"","511
001","19","3.658","63.2","15.8","15.8",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","511
002","19","3.526","47.4","31.6","15.8",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"Ecology of Fishes Lab","Course Total","38","3.592","55.3","23.7","15.8",".","2.6","2.6",".",".",".",".",".",".",".",".",".","."
"Ornithology","520
001","38","3.500","47.4","15.8","13.2","5.3","7.9",".",".","7.9",".",".",".",".",".",".","2.6","."
"","521
001","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","521
002","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","521
003","10","3.500","50.0","20.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","521
004","13","3.625","53.8","23.1",".","15.4",".",".",".","7.7",".",".",".",".",".",".",".","."
"Birds of Southern Wisconsin","Course Total","43","3.714","65.1","18.6","7.0","4.7","2.3",".",".","2.3",".",".",".",".",".",".",".","."
"Genes and Disorders Lab","604
001","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comparatv&Evolutionry Physiol","611
001","36","3.324","33.3","22.2","16.7","16.7","5.6",".",".","5.6",".",".",".",".",".",".",".","."
"","612
001","13","3.542","30.8","38.5","23.1",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","612
002","7","3.286",".","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comparative Physiology Lab","Course Total","20","3.447","20.0","45.0","30.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"Neuroethology Seminar","620
001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Conservation Biology","651
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Neurodevelopmental Disease","655
001","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Historical Ecology","672
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
101","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
102","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
104","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
105","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
109","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
111","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
112","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
146","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
148","1","***","","","","","","","","","",".",".",".",".",".",".","."
