"","423
002","9","3.444","44.4","22.2","22.2",".","11.1","",".","",".",".","",".","",".",".","",".","",".",".",".","."
"Digital Platform Analytics","Course Total","13","3.385","38.5","30.8","15.4",".","15.4","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Systems Analysis and Design","424
001","51","3.637","49.0","33.3","13.7","3.9",".","",".","",".",".","",".","",".",".","",".","",".",".",".","."
"Text Analytics-Business App","723
010","29","3.931","89.7","6.9","3.4",".",".","",".","",".",".","",".","",".",".","",".","",".",".",".","."
"234
INFO SYS","Dept. Total","174","3.682","57.5","26.4","11.5","2.3","1.7","",".","",".","",".","",".",".","",".","",".","0.6",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"234
INFO SYS","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","4","***","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Junior","","39","3.500","38.5","33.3","20.5","5.1","2.6","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","97","3.698","56.7","28.9","10.3","2.1","1.0","",".","",".","",".","",".",".","",".","",".","1.0",".",".","."
"Undergraduates","","140","3.640","51.4","30.0","13.6","2.9","1.4","",".","",".","",".","",".",".","",".","",".","0.7",".",".","."
"Special","","4","***","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","","30","3.933","90.0","6.7","3.3",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","174","3.682","57.5","26.4","11.5","2.3","1.7","",".","",".","",".","",".",".","",".","",".","0.6",".",".","."
