"INTEGRATED SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"503
INTEGSCI","","","","","","","","","","","","","","","","","","","",""
"150","001","","13","3.692","92.3",".",".",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"150","002","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Exploring Research in STEM","Course Total","","29","3.862","96.6",".",".",".",".",".","3.4",".",".",".",".",".",".",".",".","."
"Explrn Leadership Mentoring
230","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Service with Youth in STEM
240","001","","14","3.750","71.4","7.1","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"320","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"320","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"320","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"320","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Service in STEM Practicum
341","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics
375","003","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Service in STEM
640","001","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"College Science Teaching
650","001","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"660","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"660","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"660","004","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"660","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Mentor Training","Course Total","","14","",".",".",".",".",".",".",".",".",".","78.6",".",".",".",".","21.4","."
"Independent Study
699","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"503
INTEGSCI","Dept. Total","","110","3.900","70.0","0.9","2.7",".",".",".","0.9","12.7",".","10.0",".",".",".",".","2.7","."
