"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","37","3.959","94.6","2.7","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Mech Eng","201
001","158","3.649","60.1","19.6","13.9","3.8","1.9","0.6",".",".",".",".",".",".",".",".",".","."
"Geometric Modeling","231
001","244","3.848","81.1","13.5","2.0","2.0","0.8",".","0.4",".",".",".",".",".",".",".",".","."
"Dynamics","240
001","146","3.120","24.7","21.2","24.0","16.4","12.3","1.4",".",".",".",".",".",".",".",".",".","."
"Undergrad Mech Engr Project","291
050","21","4.000","95.2",".",".",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"","299
041","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
054","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
107","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
109","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","306
001","59","2.703","11.9","5.1","30.5","27.1","20.3","5.1",".",".",".",".",".",".",".",".",".","."
"","306
003","76","2.867","14.5","13.2","34.2","18.4","11.8","6.6",".",".",".",".",".",".","1.3",".",".","."
"Mechanics of Materials","Course Total","135","2.795","13.3","9.6","32.6","22.2","15.6","5.9",".",".",".",".",".",".","0.7",".",".","."
"","307
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
003","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
004","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
006","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
007","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
008","11","3.500","36.4","36.4","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","307
009","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
010","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
011","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
012","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
014","11","3.727","63.6","27.3",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","307
015","12","3.708","58.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
016","12","3.708","58.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","118","3.809","72.0","19.5","6.8","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"Manufacturing: Polymers","310
001","124","3.866","85.5","7.3","4.0","1.6",".",".","0.8","0.8",".",".",".",".",".",".",".","."
"Manufac: Metals and Automation","311
001","119","3.873","80.7","12.6","5.0","0.8",".",".",".",".",".",".",".",".","0.8",".",".","."
"Computer-Aided Engineering","331
001","107","3.589","45.8","33.6","15.0","3.7","1.9",".",".",".",".",".",".",".",".",".",".","."
"Dynamic Systems","340
001","118","3.081","23.7","33.9","16.9","9.3","7.6","5.1","3.4",".",".",".",".",".",".",".",".","."
"Design of Machine Elements","342
001","127","3.315","29.9","25.2","26.8","14.2","3.9",".",".",".",".",".",".",".",".",".",".","."
"Interdis Exper Dsgn Projects I","351
001","58","3.819","72.4","22.4","3.4",".","1.7",".",".",".",".",".",".",".",".",".",".","."
"Interdis Expr Dsgn Projects II","352
001","178","3.798","68.0","25.8","3.9","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"","361
001","56","3.232","30.4","30.4","26.8","1.8","1.8","7.1","1.8",".",".",".",".",".",".",".",".","."
"","361
002","65","3.338","33.8","33.8","16.9","6.2","4.6","4.6",".",".",".",".",".",".",".",".",".","."
"","361
003","54","3.389","29.6","37.0","18.5","11.1","3.7",".",".",".",".",".",".",".",".",".",".","."
"Thermodynamics","Course Total","175","3.320","31.4","33.7","20.6","6.3","3.4","4.0","0.6",".",".",".",".",".",".",".",".","."
"","363
001","64","2.977","12.5","20.3","37.5","12.5","15.6","1.6",".",".",".",".",".",".",".",".",".","."
"","363
002","74","2.953","12.2","21.6","25.7","25.7","14.9",".",".",".",".",".",".",".",".",".",".","."
"Fluid Dynamics","Course Total","138","2.964","12.3","21.0","31.2","19.6","15.2","0.7",".",".",".",".",".",".",".",".",".","."
