"HUMAN DEVEL & FAMILY STUDI Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","","","",""
"Cultural Diversity of Families","174","001","","69","3.514","65.2","11.6","7.2","4.3","7.2","2.9","1.4",".",".",".",".",".",".",".",".","."
"HDFS Leadership Symposium","253","001","","71","3.803","83.1","8.5","4.2",".","1.4","2.8",".",".",".",".",".",".",".",".",".","."
"","262","001","","243","3.695","69.5","14.4","9.9","2.9","1.6","0.8","0.8",".",".",".",".",".",".",".",".","."
"","262","101","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Development of Young Child","","Course Total","","246","3.696","69.1","14.6","9.8","2.8","1.6","0.8","0.8",".",".",".",".",".",".",".","0.4","."
"","263","001","","246","3.739","75.2","10.2","8.9","2.0","1.6","0.8","0.8","0.4",".",".",".",".",".",".",".","."
"","263","101","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Develp: Adolescence-Old Age","","Course Total","","250","3.739","74.0","10.0","8.8","2.0","1.6","0.8","0.8","2.0",".",".",".",".",".",".",".","."
"Ecology Child Hlth & Well-Bng","345","001","","56","3.964","94.6","3.6","1.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch Meth in Hum Devel&Fam St","425","001","","43","3.779","79.1","11.6","2.3","4.7",".","2.3",".",".",".",".",".",".",".",".",".","."
"Infant/ToddlerDev&GroupCare","462","001","","31","3.823","80.6","9.7","3.2","6.5",".",".",".",".",".",".",".",".",".",".",".","."
"Families & Poverty","465","001","","16","3.656","75.0",".","12.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Family&Com Influences-Child","469","001","","39","3.449","56.4","20.5","7.7","2.6","7.7","2.6","2.6",".",".",".",".",".",".",".",".","."
"Parent-Child Relations","471","001","","37","3.878","91.9","2.7",".",".","5.4",".",".",".",".",".",".",".",".",".",".","."
"Racial Ethnic Families in U.S.","474","001","","39","3.692","64.1","17.9","12.8","2.6","2.6",".",".",".",".",".",".",".",".",".",".","."
"","501","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","003","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","004","","19","3.579","63.2","21.1","5.3",".","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","47","3.791","85.1","8.5","2.1",".","2.1","2.1",".",".",".",".",".",".",".",".",".","."
"Family Stress and Resilience","516","001","","31","2.887","22.6","16.1","19.4","19.4","16.1","3.2","3.2",".",".",".",".",".",".",".",".","."
"Couple Relationships","517","001","","48","3.990","97.9","2.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Perspctv-Policymakng","535","001","","31","3.710","67.7","16.1","9.7","3.2","3.2",".",".",".",".",".",".",".",".",".",".","."
"Research Experience in HDFS","592","001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internship","601","002","","40","3.900","97.5",".",".",".",".",".","2.5",".",".",".",".",".",".",".",".","."
"Mass Media and Youth","616","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Parent Educ & Support Programs","650","001","","33","3.758","78.8","12.1","3.0",".","3.0","3.0",".",".",".",".",".",".",".",".",".","."
"Developmental & Fam Assessment","663","001","","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prosmr:Human Dev & Fam Studies","664","001","","6","3.647","83.3",".",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","690","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","766","001","","15","3.965","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","766","002","","12","3.864","75.0","8.3","8.3",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Current Topics in HDFS","","Course Total","","27","3.921","85.2","7.4","3.7",".",".",".",".",".",".",".",".",".","3.7",".",".","."
"Family Theory I (Survey)","865","001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2024","","","","","","","","","","","","","","","","","","","","Page 161 of 480",""
