"EGR","","","","","","","","","","","","","","","","","","","","",""
"ENGINEERING PHYSICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"347
E P","","","","","","","","","","","","","","","","","","","","",""
"","418","001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","418","002","","11","3.813","54.5","9.1","9.1",".",".",".",".","27.3",".",".",".",".",".",".",".","."
"","418","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Sust Energy Challengs & Solutn","","Course Total","","22","3.842","63.6","18.2","4.5",".",".",".",".","13.6",".",".",".",".",".",".",".","."
"Research Proposal-Engr Physics","469","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermed Problem Solving-Engrs","471","001","","25","3.500","56.0","16.0","12.0","4.0","12.0",".",".",".",".",".",".",".",".",".",".","."
"Engineering Analysis II","548","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Pract-Engr Physics II","569","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"EP Graduate Seminar","920","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"347
E P","","Dept. Total","","61","3.618","54.1","14.8","6.6","1.6","4.9",".",".","8.2",".","4.9",".",".","4.9",".",".","."
