"FOLKLORE PROGRAM","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","","",""
"Introduction to Folklore","100
001","","162","3.815","78.4","13.0","5.6","1.9","0.6",".","0.6",".",".",".",".",".",".",".",".","."
"Intro US Ethnic/Am Ind Studies","102
001","","49","3.837","81.6","10.2","4.1","2.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"Intro-Mus Cult of the World","103
001","","71","3.972","95.8","2.8","1.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
002","","15","3.767","66.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
003","","10","3.800","80.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","210
004","","7","3.429","57.1",".","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","210
005","","10","3.650","60.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","210
006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","210
007","","8","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
008","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The African Storyteller","Course Total","","69","3.659","65.2","17.4","10.1","4.3","1.4",".","1.4",".",".",".",".",".",".",".",".","."
"Elem Topics in Folklore","215
001","","24","3.891","79.2","12.5","4.2",".",".",".",".",".",".",".",".",".",".","4.2",".","."
"Interm Topics in Folklore","315
001","","33","3.848","81.8","12.1","3.0",".","3.0",".",".",".",".",".",".",".",".",".",".","."
"Afro Asian Improv","319
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Vampires","327
001","","73","3.786","74.0","11.0","9.6",".",".",".","1.4","4.1",".",".",".",".",".",".",".","."
"The Nordic Storyteller","345
001","","26","3.560","30.8","53.8","3.8","7.7",".",".",".",".",".",".",".",".",".","3.8",".","."
"Adv Topics in Folklore","415
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics American Folklore","430
001","","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sami Culture,Yesterday & Today","443
001","","32","3.344","46.9","18.8","25.0",".","3.1",".","6.3",".",".",".",".",".",".",".",".","."
"Seminar in Ethnomusicology","915
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
