"Summary by Level","#","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"INTEGART","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Sophomore","4","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Junior","3","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Senior","4","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduates","12","3.827","83.3","8.3","8.3","",".","",".","",".","",".","",".","",".",".",".",".",".",".",".","."
"Special","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Graduate","2","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total
15","3.871","86.7","6.7","6.7","",".","",".","",".","",".","",".","",".",".",".",".",".",".",".","."
