"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"LITERATURE IN TRANSLATION","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","","",""
"19&20th C Russn Lit Tran II","202
001","","33","3.281","48.5","18.2","3.0","12.1","9.1","3.0","3.0",".",".",".",".",".",".",".",".","3.0"
"19&20 C Russian Lit Tran II","204
001","","35","3.629","65.7","20.0","5.7","2.9","2.9",".","2.9",".",".",".",".",".",".",".",".","."
"Chekhov: Drama of Modern Life","220
001","","34","3.591","47.1","32.4","11.8",".","5.9",".",".","2.9",".",".",".",".",".",".",".","."
"Tolstoy in Translation","224
001","","37","3.403","67.6","10.8",".","2.7","5.4","5.4","5.4",".",".",".",".",".",".",".","2.7","."
"Manga","231
001","","61","3.639","63.9","21.3","8.2","1.6","1.6","1.6","1.6",".",".",".",".",".",".",".",".","."
"","234
001","","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","234
002","","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soviet Life&Cult (1917 on)","Course Total","","23","3.794","65.2","30.4","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","247
001","","12","3.875","91.7",".",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","247
002","","6","3.333","83.3",".",".",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"","247
003","","15","3.567","73.3","13.3",".","6.7",".",".","6.7",".",".",".",".",".",".",".",".","."
"Topics-Slavic Lit in Translatn","Course Total","","33","3.636","81.8","6.1",".","6.1",".",".","6.1",".",".",".",".",".",".",".",".","."
"Dante's Divine Comedy","253
001","","73","3.648","56.2","12.3","13.7","2.7","1.4","1.4",".",".",".",".",".",".","1.4",".","11.0","."
"Survey-Chinese Lit in Trans","262
001","","26","2.860","19.2","30.8","23.1","3.8","3.8","3.8","11.5","3.8",".",".",".",".",".",".",".","."
"Elem Topics in Russ Lit & Cult","266
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Scand Lit in Tran-20th C","274
001","","23","3.341","43.5","8.7","21.7","13.0","8.7",".",".",".",".",".",".",".","4.3",".",".","."
"","276
001","","19","3.842","68.4","31.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","276
002","","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","276
003","","19","3.395","36.8","26.3","21.1","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"","276
004","","18","3.889","94.4",".",".",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Spec Tops in Ger & World Lit/s","Course Total","","78","3.776","73.1","16.7","5.1","2.6","2.6",".",".",".",".",".",".",".",".",".",".","."
"German Fairytales (Re)imagined","280
001","","56","3.778","73.2","10.7","5.4","7.1",".",".",".","3.6",".",".",".",".",".",".",".","."
"Topics in French Lit&Cult","303
001","","43","3.475","62.8","7.0","9.3","2.3","4.7","4.7","2.3","7.0",".",".",".",".",".",".",".","."
"","324
001","","19","3.184","15.8","36.8","26.3","10.5","10.5",".",".",".",".",".",".",".",".",".",".","."
"","324
002","","24","3.896","79.2","20.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Scandinavian Literature","Course Total","","43","3.581","51.2","27.9","11.6","4.7","4.7",".",".",".",".",".",".",".",".",".",".","."
"Topics in Dutch Lit in Tran","326
001","","25","4.000","92.0",".",".",".",".",".",".","4.0",".",".",".",".",".",".","4.0","."
"Vampires","327
001","","57","3.607","68.4","5.3","17.5","1.8","1.8","1.8","1.8",".",".",".",".",".","1.8",".",".","."
"The Nordic Storyteller","345
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","410
001","","12","3.727","66.7","8.3","8.3","8.3",".",".",".","8.3",".",".",".",".",".",".",".","."
"","410
00A","","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"In Trans:Topics-Italian Lit","Course Total","","18","3.813","72.2","5.6","5.6","5.6",".",".",".","11.1",".",".",".",".",".",".",".","."
