"COUNSELING PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","",""
"","101
001","9","3.875","77.8",".","11.1",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"","101
002","9","3.875","66.7","22.2",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"","101
003","6","2.917","50.0","16.7",".",".","16.7",".","16.7",".",".",".",".",".",".",".",".","."
"Academic Enhancement Seminar","Course Total","24","3.614","66.7","12.5","4.2",".","4.2",".","4.2",".",".",".",".",".","8.3",".",".","."
"","105
002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
003","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Dev; Awareness Proc","Course Total","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Dev:Career Strategies","110
001","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
011","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
012","33","3.924","90.9","3.0","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
013","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
014","27","3.778","81.5","14.8",".",".",".",".","3.7",".",".",".",".",".",".",".",".","."
"","115
021","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
022","11","3.682","63.6","18.2","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","115
023","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
024","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
031","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
032","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
033","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
034","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
041","20","3.525","60.0","25.0","5.0",".","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"","115
042","19","3.474","73.7","10.5","5.3",".",".",".","10.5",".",".",".",".",".",".",".",".","."
"","115
043","15","3.833","86.7","6.7",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","115
044","19","3.632","73.7","5.3","10.5","5.3",".","5.3",".",".",".",".",".",".",".",".",".","."
"","115
045","17","3.882","88.2",".","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
046","20","3.875","80.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Dev: Ed Effectiveness","Course Total","287","3.841","86.8","6.6","3.5","0.7","0.7","0.3","1.4",".",".",".",".",".",".",".",".","."
"","125
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
003","17","3.794","76.5","5.9","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Wisconsin Experience Seminar","Course Total","39","3.846","84.6","2.6","10.3","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Intersectionalities","225
001","221","3.765","79.6","10.9","4.1","0.9","1.8","1.8","0.9",".",".",".",".",".",".",".",".","."
"Mental Hlth &Diverse Community","237
001","192","3.930","94.3","2.1","1.6","0.5","1.0","0.5",".",".",".",".",".",".",".",".",".","."
"Topics: Couns./Couns. Psych","300
020","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethics of Latinx Training","500
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Latin@ Mental Health","525
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Mental Hlth: Prevent & Interv","531
001","102","3.956","93.1","4.9","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
005","21","4.000","95.2",".",".",".",".",".",".",".",".",".",".",".","4.8",".",".","."
