"DANCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","",""
"","101
001","40","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
002","40","3.913","87.5","7.5","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
003","34","3.970","94.1",".","2.9",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"Social Dance I","Course Total","114","3.951","92.1","4.4","2.6",".",".",".",".","0.9",".",".",".",".",".",".",".","."
"Social Dance II","102
001","13","3.769","76.9","7.7","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Jazz Dance","103
001","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet I","105
001","24","4.000","95.8",".",".",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"Ballet II","106
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Dance I","107
001","28","3.982","96.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Dance II","108
001","16","3.750","68.8","12.5","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
010","34","3.632","55.9","20.6","20.6",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"","110
011","42","3.841","73.8","16.7","7.1",".",".",".",".","2.4",".",".",".",".",".",".",".","."
"","110
012","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
013","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
014","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Dance Activity","Course Total","159","3.873","82.4","10.1","6.3",".","0.6",".",".","0.6",".",".",".",".",".",".",".","."
"","112
001","24","3.771","79.2","8.3","4.2","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"","112
002","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112
003","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112
004","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cont Dance Technique&Theory II","Course Total","70","3.903","92.9","2.9","1.4","1.4","1.4",".",".",".",".",".",".",".",".",".",".","."
"","115
001","25","3.880","80.0","16.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Hip-Hop Dance Tech&Theory1","Course Total","26","3.882","80.8","15.4","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
002","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"African Dance","Course Total","29","3.983","96.6","3.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Asian American Movement","121
001","16","3.688","68.8","25.0",".",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"Ballet Technique I","125
001","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique I-B","126
001","21","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Somatic Theory and Practices","131
001","24","3.688","66.7","12.5","16.7",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","135
001","38","3.921","92.1","2.6","2.6","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","135
002","34","3.897","82.4","14.7","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","135
003","26","3.904","84.6","11.5","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","135
004","38","3.676","65.8","2.6","26.3","2.6",".",".",".","2.6",".",".",".",".",".",".",".","."
"Pilates Mat I","Course Total","136","3.844","80.9","7.4","9.6","1.5",".",".",".","0.7",".",".",".",".",".",".",".","."
"","136
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","136
002","11","3.818","81.8",".","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pilates Equipment I","Course Total","20","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance Production","140
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Movement Analysis","157
001","39","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 16, 2024","","","","","","","","","","","","","","","","","","Page 108 of 480",""
