"BOTANY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","",""
"Survey of Botany","100","001","135","3.644","64.4","11.1","17.0","3.7","3.7",".",".",".",".",".",".",".",".",".",".","."
"Plants, Parasites, & People","123","001","87","3.489","49.4","19.5","16.1","9.2","5.7",".",".",".",".",".",".",".",".",".",".","."
"General Botany","130","001","116","2.888","31.0","6.0","26.7","6.0","19.0","10.3","0.9",".",".",".",".",".",".",".",".","."
"Introductory Biology","151","001","6","3.167","33.3",".","50.0",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","152","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","152","002","7","3.714","85.7",".",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","","Course Total","11","3.591","72.7",".","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Introductory Ecology","260","001","23","3.087","26.1","13.0","30.4","13.0","17.4",".",".",".",".",".",".",".",".",".",".","."
"","299","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","021","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","030","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","032","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","034","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","041","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Botany","","Course Total","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fungi","332","001","17","3.765","70.6","17.6","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Biology of the Fungi","333","001","32","3.650","56.3","15.6","15.6","6.3",".",".",".","3.1",".",".",".",".","3.1",".",".","."
"Microbiome-Plants/Anmls/Humans","335","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Vascular Flora of Wisconsin","401","001","40","3.663","67.5","22.5","5.0",".",".","2.5","2.5",".",".",".",".",".",".",".",".","."
"Evolutionary Biology","410","001","16","3.125","37.5","18.8","12.5","6.3","18.8","6.3",".",".",".",".",".",".",".",".",".","."
"Plant Geography","422","001","43","3.579","53.5","11.6","18.6","2.3",".",".","2.3","7.0",".",".",".",".","4.7",".",".","."
"General Ecology","460","001","41","2.925","22.0","7.3","39.0","12.2","9.8","4.9","2.4","2.4",".",".",".",".",".",".",".","."
"Plant-Insect Interactions","473","001","16","4.000","93.8",".",".",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Ethnobotany","474","001","38","3.653","60.5","23.7","2.6","5.3",".",".","2.6","2.6",".",".",".",".","2.6",".",".","."
"","499","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499","024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499","032","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","499","034","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Directed Research","","Course Total","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".",".",".","11.1","."
"","500","002","17","3.882","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","500","010","11","4.000","90.9",".",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Plant Physiology","","Course Total","28","3.918","85.7","7.1","3.6",".",".",".",".","3.6",".",".",".",".",".",".",".","."
"Plant-Microbe Interactions","505","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Phylogenet Analysis-Molec Data","563","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","575","001","36","3.292","30.6","25.0","33.3","5.6","2.8",".","2.8",".",".",".",".",".",".",".",".","."
"Conservation Biology","651","001","7","3.667","42.9","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"Historical Ecology","672","001","6","3.900","66.7","16.7",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"July 16, 2024","","","","","","","","","","","","","","","","","","","Page 200 of 480",""
