"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"","100
001","137","3.615","71.5","7.3","9.5","4.4","2.2","0.7","2.9","1.5",".",".",".",".",".",".",".","."
"","100
002","18","3.778","83.3","5.6",".","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","100
003","20","3.600","75.0","5.0","5.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"","100
004","17","3.853","76.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Experiencing Theatre","Course Total","192","3.661","73.4","7.8","7.8","4.2","2.6","1.0","2.1","1.0",".",".",".",".",".",".",".","."
"Intro-Theatre & Dramatic Lit","120
001","146","3.671","64.4","21.2","6.2","3.4","4.1",".","0.7",".",".",".",".",".",".",".",".","."
"Fund of Theatrical Design","130
001","21","3.881","90.5","4.8",".",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Voice1 Effective Communication","140
001","17","3.765","64.7","29.4",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","150
001","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
002","15","3.600","46.7","40.0","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","150
003","13","3.615","61.5","15.4","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","150
004","20","3.725","75.0","5.0","15.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","150
005","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
006","16","3.781","56.3","43.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acting I: Intro to Acting","Course Total","92","3.772","70.7","19.6","6.5",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"Technical Theatre Fundamentals","160
001","28","3.661","75.0","7.1","10.7","3.6",".",".","3.6",".",".",".",".",".",".",".",".","."
"","162
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","162
002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Backstage Experience","Course Total","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","200
001","34","3.765","85.3","5.9","2.9",".","2.9",".","2.9",".",".",".",".",".",".",".",".","."
"","200
002","35","3.571","82.9",".","2.9",".","5.7","5.7","2.9",".",".",".",".",".",".",".",".","."
"","200
003","35","3.771","91.4",".",".",".","5.7",".","2.9",".",".",".",".",".",".",".",".","."
"","200
004","34","3.603","73.5","8.8","5.9",".","8.8",".","2.9",".",".",".",".",".",".",".",".","."
"Acting Skills for Life","Course Total","138","3.678","83.3","3.6","2.9",".","5.8","1.4","2.9",".",".",".",".",".",".",".",".","."
"","219
001","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","219
002","14","3.536","64.3","7.1","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Topics-","Course Total","26","3.731","76.9","7.7","7.7",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Scenic Studio Practicum","220
001","15","4.000","86.7",".",".",".",".",".",".",".",".",".",".",".","13.3",".",".","."
"Costume Studio Practicum","221
001","10","3.833","70.0","10.0","10.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Light & Sound Studio Practicum","222
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
002","16","3.781","62.5","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Acting","Course Total","32","3.891","81.3","15.6","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Producing Theatre","260
001","22","3.545","50.0","36.4","9.1",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"Directed Study","299
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Theatre-Cultrl&Soc Aware","357
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
101","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
102","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","360
111","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
121","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Performance in Practice","Course Total","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
