"SOCIOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"","120","001","93","3.575","48.4","25.8","22.6","1.1","1.1","1.1",".",".",".",".",".",".",".",".",".","."
"","120","002","100","3.665","58.0","27.0","10.0","2.0","2.0","1.0",".",".",".",".",".",".",".",".",".","."
"Marriage and Family","","Course Total","193","3.615","53.4","26.4","16.1","1.6","1.6","1.0",".",".",".",".",".",".",".",".",".","."
"Criminal Justice in America","131","001","66","2.954","19.7","13.6","34.8","16.7","6.1","6.1","1.5",".",".",".",".",".",".",".","1.5","."
"","134","001","185","3.247","33.0","23.8","21.1","11.4","6.5","3.2","0.5",".",".",".",".",".",".",".","0.5","."
"","134","002","177","3.353","41.8","24.3","15.3","9.0","5.6","3.4","0.6",".",".",".",".",".",".",".",".","."
"","134","003","158","3.617","58.9","17.1","18.4","3.8","0.6","0.6","0.6",".",".",".",".",".",".",".",".","."
"","134","004","139","3.410","46.0","18.0","17.3","10.8","7.2","0.7",".",".",".",".",".",".",".",".",".","."
"Soc of Race & Ethnicity in US","","Course Total","659","3.399","44.3","21.1","18.1","8.8","5.0","2.1","0.5",".",".",".",".",".",".",".","0.2","."
"The Sociology of Gender","138","001","81","3.451","40.7","33.3","9.9","9.9","4.9","1.2",".",".",".",".",".",".",".",".",".","."
"Intro-Community & Envir Soc","140","001","55","3.708","72.7","12.7","5.5",".","1.8","1.8","1.8",".",".",".",".",".","3.6",".",".","."
"Population Problems","170","001","191","3.487","38.7","39.8","10.5","5.2","4.2","1.6",".",".",".",".",".",".",".",".",".","."
"Hnrs Smr:Sociolgl Enterprse","181","001","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to LGBTQ+ Studies","200","002","42","3.282","50.0","9.5","11.9","9.5","4.8","2.4","4.8","7.1",".",".",".",".",".",".",".","."
"Survey of Sociology","210","001","74","3.377","39.2","32.4","8.1","12.2","2.7","2.7","1.4",".",".",".",".",".",".",".","1.4","."
"","211","001","38","3.645","47.4","36.8","13.2","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","211","002","41","3.341","31.7","34.1","19.5","9.8","2.4",".","2.4",".",".",".",".",".",".",".",".","."
"The Sociological Enterprise","","Course Total","79","3.487","39.2","35.4","16.5","6.3","1.3",".","1.3",".",".",".",".",".",".",".",".","."
"Ethnic Movements in U.S.","220","001","61","3.192","24.6","27.9","24.6","13.1","4.9","1.6","1.6",".",".",".",".",".",".",".","1.6","."
"Food, Culture, and Society","222","001","61","3.336","39.3","31.1","18.0",".","4.9","3.3","3.3",".",".",".",".",".",".",".",".","."
"Bascom Course","236","001","16","3.600","37.5","37.5","18.8",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Africa: Introductory Survey","277","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","136","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Practicum","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Meth-Sociological Inquiry","357","001","48","3.563","64.6","10.4","16.7","2.1","2.1","2.1","2.1",".",".",".",".",".",".",".",".","."
"Stats for Sociologists I","360","001","87","3.201","39.1","9.2","32.2","5.7","9.2","2.3","2.3",".",".",".",".",".",".",".",".","."
"Stats for Sociologists III","362","001","33","3.609","51.5","24.2","12.1","9.1",".",".",".",".",".",".",".",".","3.0",".",".","."
"Data Mgt for Soc Sci Research","365","001","21","3.738","76.2","4.8","14.3",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Processes-Deviant Behavior","421","001","35","3.029","31.4","17.1","25.7","5.7","11.4","2.9","5.7",".",".",".",".",".",".",".",".","."
"","425","001","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","425","002","6","3.417","50.0","16.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"Crime, Gender and Justice","","Course Total","12","3.458","41.7","25.0","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Criminology","441","001","93","3.516","60.2","9.7","11.8","10.8","5.4",".","1.1","1.1",".",".",".",".",".",".",".","."
"Immigration, Crime, Enforcemnt","443","001","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Juvenile Delinquency","446","001","37","3.149","35.1","8.1","24.3","21.6","8.1","2.7",".",".",".",".",".",".",".",".",".","."
"Human Sexuality","453","001","31","3.083","38.7","6.5","22.6","9.7","9.7","9.7",".","3.2",".",".",".",".",".",".",".","."
"","475","002","20","2.974","15.0","20.0","35.0","15.0","5.0",".","5.0",".",".",".",".",".",".","5.0",".","."
"","475","004","28","3.446","42.9","21.4","17.9","17.9",".",".",".",".",".",".",".",".",".",".",".","."
"Classical Soc Theory","","Course Total","48","3.255","31.3","20.8","25.0","16.7","2.1",".","2.1",".",".",".",".",".",".","2.1",".","."
