"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"Digital System Fundamentals","Course Total","10","3.300","30.0","30.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","354
001","183","2.945","10.9","21.3","37.2","22.4","3.3","2.2","2.7",".",".",".",".",".",".",".",".","."
"","354
002","199","3.028","15.6","18.6","35.2","24.1","3.5","2.5","0.5",".",".",".",".",".",".",".",".","."
"","354
010","38","3.118","23.7","31.6","18.4","18.4","2.6",".","5.3",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","Course Total","420","3.000","14.3","21.0","34.5","22.9","3.3","2.1","1.9",".",".",".",".",".",".",".",".","."
"","368
001","33","",".",".",".",".",".",".",".",".",".","93.9","6.1",".",".",".",".","."
"","368
002","91","",".",".",".",".",".",".",".",".",".","89.0","9.9",".",".",".",".","."
"","368
003","54","",".",".",".",".",".",".",".",".",".","94.4","5.6",".",".",".",".","."
"Learn a Programming Language","Course Total","178","",".",".",".",".",".",".",".",".",".","91.6","7.9",".",".",".",".","."
"","400
001","211","3.270","34.1","23.7","27.0","5.7","5.2","1.9","2.4",".",".",".",".",".",".",".",".","."
"","400
002","181","3.249","32.6","23.8","29.8","5.0","2.2","5.0","1.7",".",".",".",".",".",".",".",".","."
"","400
003","192","3.293","32.3","22.4","31.8","6.8","2.1","3.6","0.5",".",".",".",".",".","0.5",".",".","."
"","400
004","161","3.297","35.4","20.5","27.3","6.8","3.7","3.7","0.6",".","0.6",".",".",".","1.2",".",".","."
"Programming III","Course Total","745","3.277","33.6","22.7","29.0","6.0","3.4","3.5","1.3",".","0.1",".",".",".","0.4",".",".","."
"Introducing Comp Sci to K-12","402
001","38","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","435
001","29","2.897","10.3","17.2","34.5","17.2","20.7",".",".",".",".",".",".",".",".",".",".","."
"","435
002","31","3.113","22.6","22.6","29.0","12.9","9.7","3.2",".",".",".",".",".",".",".",".",".","."
"Introduction to Cryptography","Course Total","60","3.008","16.7","20.0","31.7","15.0","15.0","1.7",".",".",".",".",".",".",".",".",".","."
"","475
001","11","2.545","18.2","9.1","18.2","9.1","27.3","18.2",".",".",".",".",".",".",".",".",".","."
"","475
002","13","3.038","30.8",".","30.8","23.1","15.4",".",".",".",".",".",".",".",".",".",".","."
"","475
003","14","3.250","42.9","7.1","21.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","Course Total","38","2.974","31.6","5.3","23.7","15.8","18.4","5.3",".",".",".",".",".",".",".",".",".","."
"","502
001","27","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","502
002","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"CS Education","Course Total","48","3.948","89.6","10.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
001","78","3.590","56.4","19.2","19.2","1.3","2.6",".","1.3",".",".",".",".",".",".",".",".","."
"","506
002","38","3.750","63.2","23.7","13.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
003","46","3.656","54.3","23.9","15.2","4.3",".",".",".","2.2",".",".",".",".",".",".",".","."
"Software Engineering","Course Total","162","3.646","57.4","21.6","16.7","1.9","1.2",".","0.6","0.6",".",".",".",".",".",".",".","."
"Numerical Linear Algebra","513
001","19","3.526","63.2",".","26.3",".","10.5",".",".",".",".",".",".",".",".",".",".","."
"Numerical Analysis","514
001","11","3.000","36.4","27.3",".","9.1","9.1","18.2",".",".",".",".",".",".",".",".",".","."
"Introduction to Optimization","524
001","96","3.188","34.4","21.9","17.7","7.3","16.7",".","2.1",".",".",".",".",".",".",".",".","."
"Linear Optimization","525
001","30","3.050","23.3","13.3","30.0","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"","532
001","85","3.482","47.1","24.7","11.8","10.6","5.9",".",".",".",".",".",".",".",".",".",".","."
"","532
002","41","3.817","70.7","22.0","7.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mtrx Mthds in Machine Learning","Course Total","126","3.591","54.8","23.8","10.3","7.1","4.0",".",".",".",".",".",".",".",".",".",".","."
"","536
001","87","3.351","44.8","24.1","16.1","2.3","5.7","5.7","1.1",".",".",".",".",".",".",".",".","."
"","536
002","41","2.927","34.1","9.8","26.8","4.9","9.8","9.8","4.9",".",".",".",".",".",".",".",".","."
"Intro-Progm Langs&Compilers","Course Total","128","3.215","41.4","19.5","19.5","3.1","7.0","7.0","2.3",".",".",".",".",".",".",".",".","."
"","537
001","151","3.156","27.8","35.1","14.6","6.6","9.3","2.6","4.0",".",".",".",".",".",".",".",".","."
"","537
002","131","3.346","33.6","35.1","15.3","6.1","6.9",".","2.3","0.8",".",".",".",".",".",".",".","."
