"PHYSICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","","",""
"407","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"407","002","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"407","003","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Laboratory","Course Total","","31","3.961","93.5","6.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thermal Physics
415","001","","40","3.300","20.0","37.5","27.5","12.5","2.5",".",".",".",".",".",".",".",".",".",".","."
"Atomic and Quantum Physics
449","001","","41","3.305","34.1","19.5","36.6","2.4","4.9",".","2.4",".",".",".",".",".",".",".",".","."
"Directed Study
498","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","027","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"499","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","193","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Plasmas
525","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Plasma Confinement&Heating
527","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Quantum Mechanics
531","001","","23","3.159","26.1","17.4","21.7","21.7","8.7",".",".",".",".",".",".",".","4.3",".",".","."
"Intro-Particle Physics
535","001","","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Solid State Physics
551","001","","20","3.556","40.0","25.0","20.0","5.0",".",".",".",".",".",".",".",".","10.0",".",".","."
"Electronic Aids to Measmnt
623","001","","13","3.545","30.8","38.5","7.7","7.7",".",".",".",".",".",".",".",".","15.4",".",".","."
"682","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","103","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Statistical Mechanics
715","001","","42","3.329","21.4","31.0","35.7","9.5",".",".",".",".",".",".",".",".","2.4",".",".","."
"Theor Physics-Electrodynmcs
721","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Plasma Kinetic&Radiatn Proc
725","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quantum Mechanics
732","001","","29","3.714","48.3","41.4","6.9",".",".",".",".",".",".",".",".",".","3.4",".",".","."
"Nuclear, Particle&Astrophysics
736","001","","11","3.727","45.5","54.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Solid State Physics
751","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Quantum Computing
779","001","","23","3.043","34.8","17.4","26.1","8.7",".","4.3","8.7",".",".",".",".",".",".",".",".","."
"799","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","107","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","120","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Physics
805","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Quantum Mechanics
832","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
