"L&S","","","","","","","","","","","","","","","","","","","",""
"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","",""
"820
PSYCH","Dept. Total","5060","3.382","48.1","16.9","15.8","7.4","6.7","2.2","1.0","0.9","0.0",".","",".","0.3","0.4","0.4","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","383","3.051","32.1","17.0","18.8","12.3","12.3","4.7","2.3",".",".",".","",".",".","0.5",".",".","."
"Sophomore","","1123","3.322","44.2","16.9","18.3","8.8","7.2","2.8","1.2",".",".",".","",".",".","0.7",".",".","."
"Junior","","1429","3.300","40.9","19.5","19.9","8.4","7.8","2.4","0.8",".",".",".","",".",".","0.3",".",".","."
"Senior","","1784","3.520","57.9","16.7","12.1","5.7","5.1","1.5","0.7","0.1",".",".","",".","0.1","0.1",".",".","."
"Undergraduates","","4719","3.371","47.4","17.6","16.5","7.8","7.0","2.3","1.0","0.0",".",".","",".","0.0","0.4",".",".","."
"Special","","69","3.054","24.6","7.2","8.7","4.3","8.7",".","4.3","4.3",".",".","",".",".",".","30.4","7.2","."
"Graduate","","272","3.792","65.4","6.3","5.1","0.7","0.4",".","0.4","14.7","0.4","1.1","",".","4.8","0.7",".",".","."
"Prof Yr 3","","3","***","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","3","***","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","5063","3.382","48.1","16.8","15.7","7.3","6.7","2.2","1.0","0.9","0.0","0.1","",".","0.3","0.4","0.4","0.1","."
