"Summary by Level","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"CRB","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sophomore","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Junior","","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior","","67","3.892","89.6","6.0","3.0",".","1.5",".",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","87","3.901","88.5","8.0","2.3",".","1.1",".",".",".",".",".",".",".",".",".",".","."
"Special","","3","***","","","","","","","","","",".",".",".",".",".","33.3","."
"Graduate","","234","3.763","56.4","27.4","6.0","0.4","0.9",".",".","9.0",".",".",".",".",".",".",".","."
"Prof Yr 3","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Professionals","","1","***","","","","","","","","","",".",".",".",".",".",".","."
