"REHAB PSYCH & SPECIAL EDU","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","",""
"699","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","12","3.845","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"700
Smr: Rehab Psych Research","001","","22","3.823","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"755
Meth & Curric-Lrng Dis (El)","001","","12","3.792","75.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"763
Pract-Learning Dis (Elem)","013","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"764
Pract-Learning Dis (Second)","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"803","006","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"803","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Current Issues-Special Educ","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"810
Rehab Cnslg Psych-Technique","001","","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"835
Admin of Special Education","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"860","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"860","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rehab Cnsl Psych-Clin Prac","Course Total","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"880","002","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"880","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rehab Cnsl Psych-Sup Prac 1","Course Total","","7","3.925","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"890","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rehab Cnsl Psych-Sup Prac 2","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900
Rehab Cnsl Psych-Sup Prac 3","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"901","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"901","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Indv/Dsblty:Etiol&Develpmnt","Course Total","","3","***","","","","","","","","","","","","","","","",""
"902
Indv/Disblty:Educ&Soc Iss","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"910
Rehab Cnsl Psych-Internship","001","","12","3.975","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920
Rehab Cnsl Psych-Cnsl Supvn","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"921","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"921","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship: Adv Prof Pract","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"930","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"930","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
