"JOURN AND MASS COMMUNICA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"658
Communication Rsch Methods","001","","42","3.429","35.7","26.2","28.6","7.1","2.4",".",".",".",".",".",".",".",".",".",".","."
"665
Theory-Mass Com&Individual","001","","17","3.719","47.1","41.2","5.9",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"681","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"682
Senior Honors Thesis","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691
Senior Thesis","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"697","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","025","","10","",".",".",".",".",".",".",".",".",".","90.0","10.0",".",".",".",".","."
"697","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","042","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"697","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","051","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"697","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","","28","",".",".",".",".",".",".",".",".",".","96.4","3.6",".",".",".",".","."
"698
Directed Study","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","025","","9","3.688","66.7","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","346","3.047","25.7","17.6","22.8","13.9","16.5","2.0","0.9",".",".",".",".",".",".",".",".","0.6"
"699","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","13","3.824","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","","378","3.155","29.6","18.0","21.2","13.0","15.1","1.9","0.8",".",".",".",".",".",".",".",".","0.5"
"850
Smr-Specialized Reporting","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Colloquium:Mass Communicatn","001","","25","",".",".",".",".",".",".",".",".",".","96.0","4.0",".",".",".",".","."
"903
Smr-Com Research Design I","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"907
Smr-Law of Mass Communicatn","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"912
Smr-Media Research Methods","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"918
Smr-Hist Mass Com,Rsch&Meth","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"966
Smr-Soc Thry of Communicatn","001","","9","3.857","55.6","22.2",".",".",".",".",".","11.1",".",".",".",".",".",".",".","11.1"
"990","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","6","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 230 of 370",""
