"MUSIC","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","","",""
"The Musical Experience","101
001","","154","3.330","32.5","24.7","27.9","4.5","5.8","1.3","0.6","2.6",".",".",".",".",".",".",".","."
"Intro-Mus Cult of the World","103
001","","22","3.857","68.2","27.3",".",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"The Symphony","106
001","","83","3.125","31.3","13.3","24.1","10.8","14.5","1.2","1.2","3.6",".",".",".",".",".",".",".","."
"Intro to Music Technology","110
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","111
001","","22","3.595","68.2","13.6","4.5",".","4.5",".","4.5","4.5",".",".",".",".",".",".",".","."
"","111
002","","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elements of Music","Course Total","","46","3.789","80.4","10.9","2.2",".","2.2",".","2.2","2.2",".",".",".",".",".",".",".","."
"Music in Performance","113
001","","564","3.825","74.3","12.2","3.4","1.1","0.2","0.9","0.5","7.1",".",".",".",".",".","0.4",".","."
"","121
001","","28","2.714","7.1","21.4","35.7","21.4",".","7.1","7.1",".",".",".",".",".",".",".",".","."
"","121
002","","45","3.216","17.8","37.8","24.4","13.3",".","4.4",".",".",".",".",".",".",".","2.2",".","."
"Musica Practica 1","Course Total","","73","3.021","13.7","31.5","28.8","16.4",".","5.5","2.7",".",".",".",".",".",".","1.4",".","."
"Basic Concepts-Music Theory","151
001","","24","3.396","50.0","16.7","20.8","4.2","4.2",".","4.2",".",".",".",".",".",".",".",".","."
"","171
101","","17","3.000","23.5","29.4","29.4","5.9",".",".","11.8",".",".",".",".",".",".",".",".","."
"","102
171","","11","3.045","18.2","27.3","27.3","18.2",".","9.1",".",".",".",".",".",".",".",".",".","."
"","171
103","","15","3.200","20.0","20.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","104
171","","17","3.563","41.2","29.4","17.6","5.9",".",".",".",".",".",".",".",".",".","5.9",".","."
"","105
171","","11","3.364","18.2","45.5","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 1","Course Total","","71","3.236","25.4","29.6","28.2","11.3",".","1.4","2.8",".",".",".",".",".",".","1.4",".","."
"The Big Bands","205
001","","299","3.466","42.5","26.4","14.4","10.4","4.7",".",".","1.7",".",".",".",".",".",".",".","."
"Survey-Hist Western Music","211
001","","50","3.250","18.0","42.0","20.0","12.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"","221
001","","22","3.545","31.8","45.5","22.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","221
002","","28","3.518","32.1","39.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Practica 3","Course Total","","50","3.530","32.0","42.0","26.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Jewish Composers-Modern Era","236
001","","6","3.667","66.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","253
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","253
002","","13","3.654","53.8","23.1","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Conducting","Course Total","","16","3.719","62.5","18.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Opera Workshop","257
001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
002","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Jazz Ensemble","Course Total","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble: Wisconsin Singers","Course Total","","27","3.981","96.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","265
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","265
004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Woodwind","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Black Music Ensemble","266
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
003","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
004","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 248 of 370",""
