"ATMOSPHERIC & OCEANIC SCIE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","",""
"100","001","","143","2.825","16.8","10.5","21.0","32.2","13.3","2.8","1.4","2.1",".",".",".",".",".",".",".","."
"100","002","","95","2.937","20.0","18.9","24.2","18.9","12.6","2.1","3.2",".",".",".",".",".",".",".",".","."
"100","003","","49","2.417","6.1","12.2","8.2","16.3","51.0","2.0","2.0",".",".",".",".",".",".","2.0",".","."
"Weather and Climate","Course Total","","287","2.793","16.0","13.6","19.9","25.1","19.5","2.4","2.1","1.0",".",".",".",".",".","0.3",".","."
"101
Weather and Climate","001","","147","3.003","17.7","20.4","31.3","19.7","6.1","2.7","2.0",".",".",".",".",".",".",".",".","."
"105
Survey of Oceanography","001","","27","3.111","22.2","14.8","48.1",".","11.1","3.7",".",".",".",".",".",".",".",".",".","."
"121
Atmspherc Envirnmnt&Society","001","","40","3.438","52.5","17.5","17.5","5.0",".","7.5",".",".",".",".",".",".",".",".",".","."
"171
Global Chg: Atmospheric Iss","001","","17","3.583","41.2","29.4","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"310
Dynamics-Atmosphere&Ocean I","001","","20","3.100","35.0","10.0","30.0",".","20.0","5.0",".",".",".",".",".",".",".",".",".","."
"330
Physics-Atmosphere&Ocean I","001","","24","3.708","66.7","20.8","4.2","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"425
Global Climate Processes","001","","12","2.833","8.3","16.7","25.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"452
Syn Lab I:Frontal Cyclone","001","","13","2.962","15.4","30.8","15.4","7.7","30.8",".",".",".",".",".",".",".",".",".",".","."
"522
Tropical Meteorology","001","","13","3.308","46.2",".","38.5",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"532
Environmental Biophysics","001","","9","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"601
Problems of Atmospheric Sci","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"610
Geophys Fluid Dynamics I","001","","12","3.500","50.0","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"630
Intro to Atm & Ocn Physics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"660
Intro-Physical Oceanography","001","","13","3.577","46.2","23.1","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"698
Directed Study","029","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","8","3.385","62.5",".","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"720
Glaciology","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760
Large-Scale Ocn-Atm Couplng","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"900
Seminar-Meteorology","001","","9","3.611","33.3","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"980
Earth System Sci Seminar","001","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","8","4.000","50.0",".",".",".",".",".",".","37.5",".",".",".","12.5",".",".",".","."
"990","026","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 245 of 370",""
