"","990
116","2","***","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
117","1","***","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
123","1","***","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
124","1","***","","","","","","","","","",".",".","",".","",".",".",".","."
"Reading and Research","Course Total","30","4.000","86.7",".",".",".",".",".",".","10.0",".",".","",".","",".",".",".",".","3.3"
"MATH
600","Dept. Total","7688","2.655","21.7","10.2","21.1","10.6","20.4","9.0","5.2","0.2","0.0","1.2","",".","",".","0.1","0.2","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","4086","2.639","19.2","9.7","21.3","11.5","21.8","10.0","5.2",".",".","1.3","",".","",".",".","0.1",".","0.0"
"Sophomore","","1917","2.532","17.1","9.7","23.0","10.9","21.8","9.8","6.0",".",".","1.5","",".","",".","0.1","0.3",".","."
"Junior","","814","2.626","23.1","11.9","20.5","9.2","20.8","8.0","5.5","0.1","0.1","0.4","",".","",".",".","0.4",".","."
"Senior","","440","2.743","26.8","11.1","20.5","10.9","16.6","7.3","5.0",".","0.2","0.5","",".","",".",".","0.7",".","0.5"
"Undergraduates","","7257","2.614","19.5","10.0","21.6","11.0","21.3","9.5","5.4","0.0","0.0","1.2","",".","",".","0.0","0.2",".","0.0"
"Special","","51","3.142","39.2","11.8","15.7","9.8","9.8","2.0","5.9","3.9",".",".","",".","",".",".",".","2.0","."
"Graduate","","380","3.612","61.8","12.9","11.3","2.9","4.5","0.8","0.3","2.6",".",".","",".","",".","0.8","0.5","1.3","0.3"
"","Dept. Total","7688","2.655","21.7","10.2","21.1","10.6","20.4","9.0","5.2","0.2","0.0","1.2","",".","",".","0.1","0.2","0.1","0.1"
