"EDU","","","","","","","","","","","","","","","","","","","",""
"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"","362
003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
004","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
005","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drama in Ed:Pre-Middle Schl","Course Total","","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prac-Early Chldhd Ed-Kinder","363
001","","28","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","364
001","","26","3.981","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
364","","26","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","364
003","","26","3.788","57.7","42.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Educ:Preschl-Mid Schl","Course Total","","78","3.910","82.1","17.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","367
001","","25","",".",".",".",".",".",".",".",".",".","96.0","4.0",".",".",".",".","."
"","367
002","","28","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Prac-Rdg&Lang:Pre-Middl Sch","Course Total","","53","",".",".",".",".",".",".",".",".",".","98.1","1.9",".",".",".",".","."
"","368
001","","25","3.420","44.0","28.0","20.0",".","4.0",".","4.0",".",".",".",".",".",".",".",".","."
"","002
368","","28","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Rdg:Preschl-Middl Schl","Course Total","","53","3.708","69.8","17.0","9.4",".","1.9",".","1.9",".",".",".",".",".",".",".",".","."
"","369
001","","25","3.840","96.0",".",".",".",".",".","4.0",".",".",".",".",".",".",".",".","."
"","369
002","","28","3.750","53.6","42.9","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Lang Art:Pre-Middl Sch","Course Total","","53","3.792","73.6","22.6","1.9",".",".",".","1.9",".",".",".",".",".",".",".",".","."
"","001
370","","24","3.739","54.2","37.5",".","4.2",".",".",".",".",".",".",".",".",".",".",".","4.2"
"","370
002","","25","3.940","92.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
003","","27","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teach Math:Preschl-Mid Schl","Course Total","","76","3.820","67.1","28.9","1.3","1.3",".",".",".",".",".",".",".",".",".",".",".","1.3"
"","371
001","","24","3.813","91.7","4.2",".",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"","371
002","","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
371","","24","3.771","83.3","12.5",".",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"Tchg Soc St:Pre-Middle Schl","Course Total","","72","3.847","88.9","8.3",".",".",".",".","2.8",".",".",".",".",".",".",".",".","."
"","001
372","","24","3.646","79.2","12.5",".",".",".","4.2","4.2",".",".",".",".",".",".",".",".","."
"","372
002","","25","3.920","88.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","372
003","","25","3.700","76.0","4.0","12.0",".","8.0",".",".",".",".",".",".",".",".",".",".","."
"Tchg Sci:Preschl-Middl Schl","Course Total","","74","3.757","81.1","8.1","5.4",".","2.7","1.4","1.4",".",".",".",".",".",".",".",".","."
"","373
001","","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","373
002","","22","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","373
003","","23","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Prac-Math,Sci,SocSt:Pre-Mid","Course Total","","69","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Pract: Rdg & Math-Elem Schl","374
001","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Proseminar","375
001","","24","3.896","79.2","20.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching of Physical Educ","378
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Science-Sec Schl","390
001","","8","3.750","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"School Services-Com Dis","392
001","","45","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Secon School Math Curriculm","393
001","","9","3.500","55.6","11.1","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching of English","396
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
011","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
