"FRENCH (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","",""
"","227
002","20","3.275","30.0","40.0","10.0","15.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"","227
003","20","3.375","40.0","10.0","35.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","62","3.347","35.5","27.4","24.2","9.7",".",".","3.2",".",".",".",".",".",".",".",".","."
"","228
002","20","3.773","55.0","35.0","5.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"","003
228","14","3.202","14.3","42.9","35.7",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","228
005","19","3.833","68.4","31.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","53","3.637","49.1","35.8","11.3",".",".",".","1.9","1.9",".",".",".",".",".",".",".","."
"","271
001","22","3.545","36.4","45.5","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","271
002","26","3.692","50.0","38.5","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
003","20","3.425","30.0","30.0","35.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","271
004","20","3.250","25.0","30.0","35.0",".","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"","271
005","17","3.529","47.1","17.6","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Literary Analysis","Course Total","105","3.500","38.1","33.3","22.9","3.8","1.0","1.0",".",".",".",".",".",".",".",".",".","."
"3rd Sem French-Honors","283
001","12","3.542","41.7","41.7","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","284
001","15","3.300","40.0","13.3","33.3","6.7",".","6.7",".",".",".",".",".",".",".",".",".","."
"","284
002","16","3.781","62.5","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"4th Sem French-Honors","Course Total","31","3.548","51.6","22.6","19.4","3.2",".","3.2",".",".",".",".",".",".",".",".",".","."
"Intermed Lang&Cultr-Honors","288
001","15","3.729","46.7","40.0","6.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Practical French Converstn","301
001","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Avance express orale&ecrite","311
002","14","3.967","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Avance express orale&ecrite","312
001","15","3.794","60.0","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Business French","313
001","26","3.625","50.0","19.2","26.9",".",".",".",".",".",".",".",".",".",".","3.8",".","."
"","321
001","24","3.618","50.0","25.0","16.7","4.2",".",".",".",".",".",".",".",".",".","4.2",".","."
"","321
002","25","3.699","56.0","32.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","321
003","20","3.507","35.0","40.0","15.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Middle Ages to Revol","Course Total","69","3.615","47.8","31.9","13.0","5.8",".",".",".",".",".",".",".",".",".","1.4",".","."
"","001
322","17","3.420","35.3","41.2","5.9",".","17.6",".",".",".",".",".",".",".",".",".",".","."
"","322
003","21","3.500","28.6","38.1","28.6",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"Intro French Lit-19 & 20 C","Course Total","38","3.464","31.6","39.5","18.4",".","7.9",".",".","2.6",".",".",".",".",".",".",".","."
"Civ Franc:orig au 18e siecl","347
001","28","3.266","25.0","28.6","25.0","17.9","3.6",".",".",".",".",".",".",".",".",".",".","."
"French-Reading Knowledge","391
001","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"20th-Century French Lit","433
001","18","3.233","16.7","22.2","55.6",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Smr-French Lit St","568
001","16","3.510","31.3","31.3","31.3",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"French Phonetics","590
001","13","3.583","46.2","23.1","15.4","7.7",".",".",".",".",".",".",".",".",".","7.7",".","."
"Crit Approach to French Lit","626
002","8","3.375",".","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Le Roman Francais 1850-1900","636
001","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Litterature Francaise 16 S","646
001","9","3.857","55.6","22.2",".",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"","681
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","2","***","","","","","","","","","","","","","","","",""
"","699
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
026","2","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 203 of 370",""
