"Radiology Selective","820
001","","24","3.792","79.2",".","","20.8",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Individualized 4th Yr Clerk","919
001","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Diagnostic Radiol Clerk-CSC","920
001","","25","4.000","100.0",".","",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"RADIOL
832","Dept. Total","","50","3.906","90.0","",".","10.0",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"832
RADIOL","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Prof Yr 2","","","2","4.000","100.0","",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","","22","3.773","77.3","",".","22.7",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","","26","4.000","100.0","",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","","50","3.906","90.0","",".","10.0",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","50","3.906","90.0","",".","10.0",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
