"","MATERIALS SCI AND ENGINEERI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Materials Sci for Non-Engrs","150","001","44","3.148","25.0","20.5","27.3","18.2","6.8","2.3",".",".",".",".",".",".",".",".",".","."
"Intro to Modern Materials","250","001","10","3.800","90.0",".",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Mat Sci&Engr Prob Solvng I","271","001","16","3.469","25.0","50.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Macroprocessing-Materials","332","001","17","3.353","23.5","41.2","23.5","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"Intro to Materials Science","350","001","164","3.342","37.2","15.2","33.5","5.5","4.9","1.8",".","0.6",".",".",".",".","1.2",".",".","."
"Struct&Property Rels-Solids","351","001","35","3.265","25.7","25.7","25.7","14.3","5.7",".",".","2.9",".",".",".",".",".",".",".","."
"Microscopy&Properties-Matls","360","001","8","3.500","37.5","25.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physical Metallurgy Lab","362","001","16","3.438","37.5","50.0","6.3",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"Materials Sys & Design Proj","379","001","20","3.824","55.0","30.0",".",".",".",".",".",".",".",".",".",".",".","15.0",".","."
"Crystallog & Xray Diffractn","448","001","17","3.500","35.3","29.4","23.5","5.9",".",".",".","5.9",".",".",".",".",".",".",".","."
"Intro to Ceramic Materials","451","001","29","3.107","27.6","24.1","20.7","10.3","3.4","10.3",".",".",".",".",".",".",".","3.4",".","."
"Copper & Copper Base Alloys","466","001","26","3.667","34.6","53.8","3.8",".",".",".",".",".",".",".",".",".",".","7.7",".","."
"The Light Alloys","467","001","25","3.543","48.0","28.0","12.0",".",".",".","4.0",".",".",".",".",".",".","8.0",".","."
"The Stainless Steels","468","001","23","3.450","30.4","21.7","30.4","4.3",".",".",".",".",".",".",".",".",".","13.0",".","."
"Thermodynamics of Solids","530","001","19","3.222","10.5","26.3","52.6","5.3",".",".",".",".",".",".",".",".",".",".","5.3","."
"","699","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","026","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","7","3.667","85.7",".",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"Adv Matls Sci-Phase Transfm","752","001","6","3.750","33.3","33.3",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"Topics-Physical Metallurgy","801","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Metallurgicl Thermodynamics","802","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","803","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","803","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","803","003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","803","005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","803","006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","803","007","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","803","008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","803","009","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics-Materials Sci","","Course Total","33","4.000","54.5",".",".",".",".",".",".","45.5",".",".",".",".",".",".",".","."
"Topics-Material Processing","806","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar","900","001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","009","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","010","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","018","7","3.400","14.3",".","14.3",".",".",".",".","28.6",".",".",".","42.9",".",".",".","."
"","990","020","8","4.000","37.5",".",".",".",".",".",".","37.5",".",".",".","25.0",".",".",".","."
"","990","025","7","4.000","42.9",".",".",".",".",".",".","28.6",".",".",".","28.6",".",".",".","."
"","990","026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 134 of 370",""
