"POLITICAL SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"Freshman Topics Seminar","100","001","19","2.921","15.8","21.1","26.3","15.8","15.8","5.3",".",".",".",".",".",".",".",".",".","."
"Intro to Political Analysis","101","001","60","3.033","15.0","25.0","30.0","21.7","3.3","5.0",".",".",".",".",".",".",".",".",".","."
"","104","001","399","2.647","8.8","14.8","22.6","24.3","21.1","7.3","1.3",".",".",".",".",".",".",".",".","."
"","104","002","392","2.813","12.0","15.6","30.1","19.4","18.9","2.3","1.8",".",".",".",".",".",".",".",".","."
"","104","092","34","3.353","35.3","23.5","29.4","5.9","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"Intro-Amer Politcs&Governmt","","Course Total","825","2.755","11.4","15.5","26.4","21.2","19.3","4.7","1.5",".",".",".",".",".",".",".",".","."
"Intro-Comparative Politics","106","001","325","3.105","10.8","30.8","36.6","15.4","4.9","1.5",".",".",".",".",".",".",".",".",".","."
"Topics in Polit Anal-Honors","181","001","20","3.375","30.0","30.0","30.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","199","009","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to State Government","205","001","85","3.275","31.8","21.2","24.7","14.1","5.9","1.2",".",".",".",".",".",".","1.2",".",".","."
"Intro to Political Theory","209","001","63","3.111","15.9","28.6","27.0","19.0","9.5",".",".",".",".",".",".",".",".",".",".","."
"Urban Politics","213","001","47","3.300","23.4","31.9","27.7","8.5","2.1","2.1",".","2.1",".",".",".",".",".","2.1",".","."
"Law, Politics and Society","217","001","57","3.324","26.3","26.3","33.3","7.0",".",".","1.8","3.5",".",".",".",".",".","1.8",".","."
"Intro to East Asian Civ","222","001","20","3.275","35.0","25.0","15.0","10.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"Politcs:Multi-Cultural Soc","230","001","125","3.073","6.4","36.0","32.0","16.8","6.4",".","0.8","0.8",".",".",".",".","0.8",".",".","."
"SE Asia:Vietnam to Philipns","244","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252","001","11","3.636","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Latin Amer Politics","261","001","67","2.993","28.4","23.9","17.9","10.4","10.4","1.5","7.5",".",".",".",".",".",".",".",".","."
"","275","001","106","2.825","7.5","14.2","32.1","28.3","17.9",".",".",".",".",".",".",".",".",".",".","."
"","275","092","33","3.045","21.2","15.2","39.4","12.1","9.1",".","3.0",".",".",".",".",".",".",".",".","."
"Intro-Internatl Relations","","Course Total","139","2.878","10.8","14.4","33.8","24.5","15.8",".","0.7",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","24","2.875","25.0","8.3","16.7","33.3","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"Politics of World Economy","312","001","103","3.117","15.5","27.2","36.9","15.5","1.0",".","2.9","1.0",".",".",".",".",".",".",".","."
"Prin-International Law","316","001","69","3.277","20.3","44.9","21.7","4.3","4.3",".","2.9","1.4",".",".",".",".",".",".",".","."
"Conduct-Am Foreign Affairs","323","001","49","3.112","16.3","30.6","34.7","12.2","2.0",".","4.1",".",".",".",".",".",".",".",".","."
"Probs-Amer Foreign Policy","359","002","60","3.050","10.0","33.3","28.3","20.0","5.0","3.3",".",".",".",".",".",".",".",".",".","."
"International Relations","375","001","133","2.905","9.0","21.1","35.3","18.8","9.8","3.8","0.8","1.5",".",".",".",".",".",".",".","."
"Anal of Internatl Relations","376","001","23","3.478","17.4","60.9","21.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nuclear Weapons&World Poltc","377","001","35","3.086","20.0","20.0","25.7","25.7","8.6",".",".",".",".",".",".",".",".",".",".","."
"","401","010","19","3.474","31.6","36.8","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","401","050","16","3.700","50.0","31.3","12.5",".",".",".",".",".",".",".",".",".",".",".","6.3","."
"Selected Topics-Poli Sci","","Course Total","35","3.574","40.0","34.3","20.0","2.9",".",".",".",".",".",".",".",".",".",".","2.9","."
"Amer Politics & Government","404","001","163","2.818","10.4","14.7","23.3","29.4","16.6","1.2","0.6","1.2",".",".",".",".",".","1.8","0.6","."
"The American Presidency","408","001","48","2.890","6.3","10.4","54.2","22.9","4.2",".","2.1",".",".",".",".",".",".",".",".","."
"Constitutional Law","411","001","92","3.283","15.2","48.9","19.6","12.0","3.3","1.1",".",".",".",".",".",".",".",".",".","."
"Legislative Process","426","001","30","3.151","16.7","30.0","40.0","6.7","3.3",".","3.3",".",".",".",".",".",".",".",".","."
"Legislative Internship","427","001","14","2.821","7.1","35.7","21.4",".","28.6","7.1",".",".",".",".",".",".",".",".",".","."
"Ethnic Politics in America","430","001","53","2.900","13.2","13.2","28.3","17.0","20.8",".",".","3.8",".",".",".",".","3.8",".",".","."
"Criminal Law and Justice","452","001","247","3.138","9.3","31.2","40.5","15.0","3.6",".",".","0.4",".",".",".",".",".",".",".","."
"Religion and Politics","465","001","72","3.240","19.4","37.5","27.8","8.3","5.6",".","1.4",".",".",".",".",".",".",".",".","."
"Elections & Voting Behavior","467","001","18","3.444","22.2","44.4","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 265 of 370",""
