"COMMUNICATION ARTS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"Radio Programmng&Production","353","001","20","3.575","55.0","10.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Video Production","355","001","134","3.067","4.5","34.3","41.0","14.9","3.7","0.7","0.7",".",".",".",".",".",".",".",".","."
"Film&Broadcast Documentary","358","001","42","2.786","4.8","16.7","38.1","11.9","28.6",".",".",".",".",".",".",".",".",".",".","."
"Quantitatve Rsch-Communictn","361","001","58","3.397","39.7","27.6","19.0","6.9","5.2",".","1.7",".",".",".",".",".",".",".",".","."
"Thry&Practice of Persuasion","368","001","64","3.298","31.3","23.4","23.4","12.5","4.7","1.6",".",".",".",".",".",".",".","3.1",".","."
"Rhetoric-Campaign&Revolutn","372","001","291","3.179","19.2","27.5","32.3","10.7","8.2","0.3","0.3","1.0",".",".",".",".",".","0.3",".","."
"History of Broadcasting","450","001","58","3.069","20.7","22.4","24.1","19.0","12.1","1.7",".",".",".",".",".",".",".",".",".","."
"Telecommunications Policy","452","001","41","3.366","29.3","26.8","31.7","12.2",".",".",".",".",".",".",".",".",".",".",".","."
"Russian and Soviet Film","456","001","19","3.083","21.1","10.5","42.1","15.8",".","5.3",".",".",".",".",".",".","5.3",".",".","."
"Mass Media & Human Behavior","457","001","112","3.393","33.0","23.2","36.6","5.4","0.9","0.9",".",".",".",".",".",".",".",".",".","."
"Semiotics of Communication","532","001","42","3.525","52.4","9.5","26.2",".","7.1",".",".","4.8",".",".",".",".",".",".",".","."
"Am Film Inds-Studio Sys Era","556","001","61","2.875","13.1","18.0","24.6","23.0","16.4","3.3",".",".",".",".",".",".",".","1.6",".","."
"Communication Theory","560","001","20","2.900","10.0","10.0","50.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"Communictn&Interethnc Behav","565","001","19","3.053","36.8","15.8","26.3","5.3","5.3",".","10.5",".",".",".",".",".",".",".",".","."
"Prin-Rhetorical Criticism","576","001","20","3.075","20.0","30.0","25.0","15.0","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"","612","001","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","612","002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","612","003","16","3.700","62.5","18.8",".","12.5",".",".",".",".",".",".",".",".","6.3",".",".","."
"Topics-Communicatn Studies","","Course Total","33","3.797","69.7","21.2",".","6.1",".",".",".",".",".",".",".",".","3.0",".",".","."
"Topics; Broadcasting & Film","613","001","24","3.583","45.8","33.3","12.5","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","614","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Exper in Communicatn","","Course Total","3","***","","","","","","","","","","","","","","","",""
"Secnd Fld Exp-Communication","615","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Hlth Communication-Info Age","617","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Video Productn&Directn","651","001","21","3.333","14.3","47.6","28.6","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"TV Dramatc Productn&Directn","653","001","14","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"German Film","655","001","10","3.200","20.0","30.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","656","001","13","3.269","7.7","38.5","53.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","656","002","15","3.400","6.7","66.7","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Motion Picture Productn","","Course Total","28","3.339","7.1","53.6","39.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Writing for Tv & Film","658","001","14","3.357","28.6","35.7","14.3","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Film Theory","665","001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Directed Study","698","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 176 of 370",""
