"Seminar-Biblical Studies","951
001","9","3.357","22.2","22.2","22.2","11.1",".",".",".","22.2",".","",".",".","",".",".","",".",".","."
"","990
003","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
011","8","3.500",".","12.5",".",".",".",".",".","75.0",".","",".",".","","12.5",".","",".",".","."
"Research and Thesis","Course Total","9","3.750","11.1","11.1",".",".",".",".",".","66.7","",".",".","",".","11.1","",".",".",".","."
"HEBR ST
440","Dept. Total","311","3.263","32.2","27.0","16.1","9.6","7.1","1.9","1.6","3.5","",".",".","",".","0.3","",".",".","0.6","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"440
HEBR ST","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","71","3.210","38.0","26.8","11.3","11.3","7.0","2.8","2.8",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","76","3.443","40.8","26.3","22.4","3.9","5.3","1.3",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","54","3.184","20.4","35.2","18.5","11.1","13.0","1.9",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","59","3.005","23.7","28.8","11.9","15.3","8.5","3.4","5.1","3.4","",".",".","",".",".","",".",".",".","."
"Undergraduates","","260","3.231","31.9","28.8","16.2","10.0","8.1","2.3","1.9","0.8","",".",".","",".",".","",".",".",".","."
"Special","","10","3.600","50.0",".","10.0","10.0",".",".",".","10.0","",".",".","",".",".","",".",".","20.0","."
"Graduate","","41","3.468","29.3","22.0","17.1","7.3","2.4",".",".","19.5","",".",".","",".","2.4","",".",".",".","."
"","Dept. Total","311","3.263","32.2","27.0","16.1","9.6","7.1","1.9","1.6","3.5","",".",".","",".","0.3","",".",".","0.6","."
