"OPERATIONS & TECHNOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","",""
"Operations Research-Mgt","312
001","36","3.222","22.2","30.6","30.6","8.3","5.6","2.8",".",".",".",".",".",".",".",".",".","."
"","350
001","118","3.186","24.6","27.1","23.7","15.3","7.6","0.8","0.8",".",".",".",".",".",".",".",".","."
"","350
002","85","2.982","11.8","20.0","36.5","21.2","9.4",".","1.2",".",".",".",".",".",".",".",".","."
"","003
350","77","3.091","16.9","22.1","35.1","14.3","11.7",".",".",".",".",".",".",".",".",".",".","."
"Mgmt-Serv&Manufctng Operatn","Course Total","280","3.098","18.6","23.6","30.7","16.8","9.3","0.4","0.7",".",".",".",".",".",".",".",".","."
"Rdg&Rsch-Operatns&Info Mgmt","399
043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Operations Research I","410
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","632
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","632
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Stochastic Processes","Course Total","2","***","","","","","","","","","","","","","","","",""
"Sim Model&Analy-Ind Eng Sys","642
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Operations Research I","710
001","24","3.652","41.7","41.7","12.5",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"","001
730","43","3.302","30.2","18.6","32.6","18.6",".",".",".",".",".",".",".",".",".",".",".","."
"","730
002","33","3.364","39.4","18.2","24.2","12.1","6.1",".",".",".",".",".",".",".",".",".",".","."
"Managerial Economics","Course Total","76","3.329","34.2","18.4","28.9","15.8","2.6",".",".",".",".",".",".",".",".",".",".","."
"","750
001","36","3.597","41.7","36.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","750
002","33","3.485","39.4","24.2","30.3","6.1",".",".",".",".",".",".",".",".",".",".",".","."
"Operations Management","Course Total","69","3.543","40.6","30.4","26.1","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Service Operations Managmnt","751
001","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intl Operations: Probs&Adm","755
001","19","3.778","68.4","10.5","15.8",".",".",".",".",".",".",".",".",".",".","5.3",".","."
"Manage Tech Change-Mfg Syst","758
001","19","3.421","31.6","31.6","26.3","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","768
001","28","3.518","32.1","42.9","21.4","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","768
002","26","3.423","38.5","19.2","30.8","11.5",".",".",".",".",".",".",".",".",".",".",".","."
"Quality Management","Course Total","54","3.472","35.2","31.5","25.9","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Qual&Prodtvty Imprvmt","770
001","15","3.800","80.0","13.3",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","799
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
048","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
072","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
073","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
089","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg&Rsch-Operatns&Info Mgmt","Course Total","25","3.919","84.0","8.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategc Managemt&Qual Plan","861
001","17","3.679","29.4","52.9",".",".",".",".",".","17.6",".",".",".",".",".",".",".","."
"","990
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
058","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
076","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
117","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Operatns&Inf Mgt","Course Total","5","***","","","","","","","","","","","","","","","",""
"","999
058","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
089","2","***","","","","","","","","","",".",".",".",".",".",".","."
