"MEDICAL MICROBIOL & IMMUN","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"620
M M & I","","","","","","","","","","","","","","","","","","","",""
"301
Pathogenic Microorganisms","001","","139","3.141","28.8","21.6","23.7","16.5","2.9","2.9","2.9",".",".",".",".",".","0.7",".",".","."
"302","002","","28","3.286","28.6","28.6","25.0","14.3",".","3.6",".",".",".",".",".",".",".",".",".","."
"302","003","","29","3.286","31.0","27.6","24.1","6.9",".","6.9",".",".",".",".",".",".","3.4",".",".","."
"302","004","","27","3.241","37.0","22.2","22.2","3.7","7.4","7.4",".",".",".",".",".",".",".",".",".","."
"Pathogenic Microorgnsm Lab","Course Total","","84","3.271","32.1","26.2","23.8","8.3","2.4","6.0",".",".",".",".",".",".","1.2",".",".","."
"341
Immunology","001","","56","3.273","32.1","17.9","26.8","14.3","7.1",".",".","1.8",".",".",".",".",".",".",".","."
"504
Infect Disease-Human Beings","001","","60","3.433","31.7","26.7","38.3","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"528
Immunology","001","","102","3.142","23.5","10.8","49.0","3.9","12.7",".",".",".",".",".",".",".",".",".",".","."
"529
Immunology Laboratory","001","","40","3.275","25.0","30.0","30.0","10.0","2.5","2.5",".",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"696
Senior Seminar","001","","75","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","11","3.980","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","201","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","44","3.971","93.2","2.3","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"701
Infection and Immunity I","001","","150","3.530","52.7",".","46.7",".",".",".",".",".",".",".",".",".",".",".",".","0.7"
"740
Mech Microbial Pathogenesis","001","","15","3.800","73.3","13.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"900
Journal Club","001","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"901
Seminar","001","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"914
Smr-Molecular Biosci (Adv)","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 323 of 370",""
