"AMERICAN INDIAN STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","","",""
"Amer Indians in Higher Educ","150
001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","199
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Amer Indian Oral Literature","275
001","","22","3.386","31.8","31.8","22.7","9.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"Archaeology of Wisconsin","354
001","","11","2.455",".",".","36.4","36.4","18.2","9.1",".",".",".",".",".",".",".",".",".","."
"","450
001","","20","3.947","90.0",".","5.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"","002
450","","23","3.478","60.9",".","34.8",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"","003
450","","26","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","450
004","","19","3.737","52.6","42.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Issues in Amer Ind Studies","Course Total","","88","3.770","75.0","9.1","13.6",".",".",".","1.1","1.1",".",".",".",".",".",".",".","."
"Rur Minority Grp&Povrty-U S","578
001","","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
002","","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","11","3.658","45.5","27.3","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
