"","JOURN AND MASS COMMUNICA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"","201","001","345","3.014","22.9","14.8","32.2","13.6","11.3","4.9","0.3",".",".",".",".",".",".",".",".","."
"","201","002","97","2.768","2.1","20.6","30.9","29.9","12.4","4.1",".",".",".",".",".",".",".",".",".","."
"Intro to Mass Communication","","Course Total","442","2.960","18.3","16.1","31.9","17.2","11.5","4.8","0.2",".",".",".",".",".",".",".",".","."
"Reporting","204","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","205","001","14","2.500",".","7.1","57.1","21.4",".",".","14.3",".",".",".",".",".",".",".",".","."
"","205","002","14","3.214","7.1","28.6","64.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","205","003","13","3.308","15.4","30.8","53.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","205","004","13","3.269","15.4","38.5","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","205","005","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Newswriting and Reporting","","Course Total","64","3.211","23.4","21.9","43.8","7.8",".",".","3.1",".",".",".",".",".",".",".",".","."
"","230","002","8","3.625","50.0","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","230","005","8","3.500","37.5","37.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Newspaper Editing","","Course Total","16","3.563","43.8","37.5","6.3","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Advertising","246","001","143","2.909","13.3","15.4","32.9","21.0","15.4","2.1",".",".",".",".",".",".",".",".",".","."
"Effects-Mass Communication","265","001","386","2.970","22.8","16.8","23.8","13.5","19.2","2.6","1.0","0.3",".",".",".",".",".",".",".","."
"","301","001","6","3.400","16.7","33.3","33.3",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","301","002","6","3.667","66.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Reporting of Public Affairs","","Course Total","12","3.545","41.7","25.0","16.7","8.3",".",".",".","8.3",".",".",".",".",".",".",".","."
"Interpatn Contemp Affairs","304","001","13","3.423","15.4","61.5","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Writing of Feature Articles","305","001","16","2.750","12.5",".","31.3","37.5","18.8",".",".",".",".",".",".",".",".",".",".","."
"Science & Technology Journ","315","001","17","3.294","11.8","47.1","29.4","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"Public Relations Practices","325","001","52","3.578","36.5","40.4","21.2",".",".",".",".",".",".",".",".",".",".",".","1.9","."
"Intro to Broadcast News","351","001","29","3.397","13.8","58.6","24.1",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"Television News","352","001","20","3.725","45.0","55.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Media and the Consumer","446","001","155","3.010","16.8","23.9","23.2","25.8","6.5","1.3","1.9",".",".",".",".",".","0.6",".",".","."
"Advertising Copy and Layout","450","001","53","3.283","24.5","20.8","43.4","9.4","1.9",".",".",".",".",".",".",".",".",".",".","."
"Adv Advertising Copy&Layout","451","001","14","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Promotional Campaigns","454","001","24","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advertising Media Planning","459","002","28","3.214","14.3","28.6","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Publicity Media and Methods","515","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Magazines&Magazine Editing","517","001","14","3.893","92.9",".",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Public Relations Campaigns","525","001","65","3.123","12.3","27.7","41.5","12.3","4.6","1.5",".",".",".",".",".",".",".",".",".","."
"Law of Mass Communication","559","001","89","2.938","12.4","23.6","23.6","20.2","18.0","1.1",".",".",".",".",".",".",".","1.1",".","."
"Hist of Mass Communication","560","001","70","2.721","5.7","18.6","30.0","17.1","22.9","5.7",".",".",".",".",".",".",".",".",".","."
"","561","001","27","3.259","11.1","44.4","33.3","7.4","3.7",".",".",".",".",".",".",".",".",".",".","."
"","561","002","20","3.225","25.0","25.0","35.0","10.0",".","5.0",".",".",".",".",".",".",".",".",".","."
"Mass Communication&Society","","Course Total","47","3.245","17.0","36.2","34.0","8.5","2.1","2.1",".",".",".",".",".",".",".",".",".","."
"Mass Media and Minorities","562","001","27","3.204","22.2","40.7","7.4","14.8","14.8",".",".",".",".",".",".",".",".",".",".","."
"Topics-Mass Communication","575","043","14","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Communicatn&Public Opinion","614","001","55","2.955","14.5","20.0","29.1","21.8","12.7",".","1.8",".",".",".",".",".",".",".",".","."
"Advertising Theory&Research","615","001","21","3.881","76.2","23.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Communication-Info Age","617","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 229 of 370",""
