"BOTANY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","",""
"950
Seminar-Plant Ecology","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"960
Seminar-Plant Physiology","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"969","001","","6","4.000","16.7",".",".",".",".",".",".","83.3",".",".",".",".",".",".",".","."
"969","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Colloq-Teachng College Biol","Course Total","","7","4.000","14.3",".",".",".",".",".",".","85.7",".",".",".",".",".",".",".","."
"990
Research-Phycology","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991
Research-Plant Anat/Morphol","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"994","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"994","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"994","031","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research-Plant Systematics","Course Total","","7","4.000","57.1",".",".",".",".",".",".","28.6",".",".",".","14.3",".",".",".","."
"995","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"995","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"995","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"995","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research-Plant Ecology","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"996","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"996","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"996","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"996","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"996","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research-Plant Physiology","Course Total","","11","4.000","54.5",".",".",".",".",".",".","9.1",".",".",".","36.4",".",".",".","."
