"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"","376
002","","13","3.538","53.8","30.8","7.7",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"","376
003","","17","3.794","70.6","17.6","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Photography","Course Total","","44","3.750","68.2","22.7","6.8",".",".","2.3",".",".",".",".",".",".",".",".",".","."
"","412
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","412
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Drawing II","Course Total","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Painting II","422
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Computer Imaging Techniques","428
001","","10","3.550","70.0","10.0","10.0",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"Artists' Books","446
001","","10","3.700","70.0","20.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","448
001","","16","3.936","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
448","","12","3.955","83.3","8.3",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","448
003","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
004","","14","3.671","50.0","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","59","3.870","81.4","10.2","5.1","1.7",".",".",".",".",".",".",".",".","1.7",".",".","."
"Figure Painting","452
001","","16","3.469","50.0","12.5","25.0","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Advanced Relief Printmaking","506
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Drawing I","512
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Sculpture I","514
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","522
001","","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","522
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Painting I","Course Total","","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Ceramics I","524
001","","8","3.400","75.0",".",".",".",".",".","12.5",".",".",".",".",".","12.5",".",".","."
"Advanced Etching/Intaglio","526
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Computer-Mediated Art","528
001","","17","3.853","88.2",".","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","532
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","532
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Life Drawing I","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Advanced Wood Working","534
001","","14","3.393","21.4","35.7","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Serigraphy","536
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Art Metal I","544
001","","7","3.714","71.4",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Typography&Graphic Dsgn","546
001","","15","3.429","40.0","40.0","6.7",".",".",".","6.7",".",".",".",".",".",".",".",".","6.7"
"Advanced Glassworking","554
001","","16","3.622","43.8","37.5","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Graphic Design Technlgy","556
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Critiq-Visual Arts","608
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Drawing II","612
001","","7","3.925","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Sculpture II","614
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","622
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","622
002","","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Painting II","Course Total","","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Ceramics II","624
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","632
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 76 of 370"
