"GERMAN","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","","","",""
"Composition & Conversatn II","","Course Total","","30","3.150","20.0","23.3","33.3","13.3","10.0",".",".",".",".",".",".",".",".",".",".","."
"Rdg-Contemp German Cult&Civ","241","001","","20","3.342","25.0","30.0","30.0","5.0","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"Intensive German III","273","001","","10","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","284","001","","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","284","002","","12","3.333","16.7","41.7","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Honors Intro to German Lit","","Course Total","","24","3.563","41.7","33.3","20.8","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","285","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","285","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Honor Colloq for German 284","","Course Total","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","299","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Aufklaerung und Klassik","302","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","311","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","311","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Sem Dutch-Grad Stdts","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"3rd Sem Dutch-Grad Stdts","313","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"The Structure of German","351","001","","13","3.500","61.5","23.1","7.7",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"German for Grad Reading I","391","001","","15","3.464","46.7","13.3","13.3","20.0",".",".",".","6.7",".",".",".",".",".",".",".","."
"D Kulturgeschichte bis 1648","409","001","","24","3.353","20.8","37.5","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Compositn & Conversatn","412","001","","17","3.500","41.2","23.5","17.6","11.8",".",".",".","5.9",".",".",".",".",".",".",".","."
"Survey German Lit to 1750","611","001","","19","3.789","68.4","21.1","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lit Movements Since 1750","612","001","","14","3.885","71.4","21.4",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"History-German Language","650","001","","13","3.538","69.2","15.4","7.7",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"Readings Middle High German","652","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"German Film","655","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Phonetics","671","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Honors Sem-German Lit","683","001","","16","3.594","43.8","37.5","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","699","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Enlightmnt&Classm 1700-1806","703","001","","6","3.875","50.0","16.7",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"College Teaching of German","720","001","","7","4.000","71.4",".",".",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"Pract-Undergr Lang Instrctn","721","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Old Germanic Languages","755","001","","13","3.917","76.9","15.4",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Topics-Contemporary German","758","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 211 of 370",""
