"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"SOIL SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","2","2.500",".",".",".","100.0",".",".",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","33","3.252","33.3","21.2","21.2","12.1","9.1",".",".",".","",".",".","",".",".",".","3.0",".","."
"Junior","67","3.140","32.8","16.4","26.9","14.9","7.5","1.5",".",".","",".",".","",".",".",".",".",".","."
"Senior","137","3.255","33.6","25.5","22.6","9.5","3.6","2.9","1.5",".","",".",".","",".",".","0.7",".",".","."
"Undergraduates","239","3.208","33.1","22.2","23.4","12.1","5.4","2.1","0.8",".","",".",".","",".",".","0.4","0.4",".","."
"Special","11","2.980","36.4",".","9.1","9.1","27.3",".",".","18.2","",".",".","",".",".",".",".",".","."
"Graduate","101","3.816","41.6","12.9","5.0",".",".",".",".","38.6","",".",".","",".","2.0",".",".",".","."
"Prof Yr 3","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
