"L&S","","","","","","","","","","","","","","","","","","","","","","",""
"LAFOLLETTE SCHOOL PUB AFF Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","","","","",""
"551
001
Quantitative Anal-Pol Data","20","2.869","25.0","10.0","30.0","10.0","15.0","10.0",".","",".",".","",".",".","",".","",".","",".",".","."
"734
001
Regional Econ Prob Analysis","8","3.750","62.5","25.0","12.5",".",".",".",".","",".",".","",".",".","",".","",".","",".",".","."
"799
004
Independent Reading","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"827
001
Administrative Internship","6","",".",".",".",".",".",".",".","","100.0",".","",".",".","",".","",".","",".",".","."
"871
001
Public Program Evaluation","23","3.804","65.2","30.4","4.3",".",".",".",".","",".",".","",".",".","",".","",".","",".",".","."
"875
001
Public Personnel Adm","23","3.870","73.9","26.1",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".","."
"878
001
Public Management","33","3.781","60.6","30.3","6.1",".",".",".",".","","3.0",".","",".",".","",".","",".","",".",".","."
"001
880
Microecon Policy Analysis","26","3.481","46.2","15.4","26.9","11.5",".",".",".","",".",".","",".",".","",".","",".","",".",".","."
"891
001
State & Local Govt Finance","10","3.444","20.0","40.0","30.0",".",".",".",".","","10.0",".","",".",".","",".","",".","",".",".","."
"974
001
Topics in Public Affairs","11","3.682","54.5","27.3","18.2",".",".",".",".","",".",".","",".",".","",".","",".","",".",".","."
"PUB AFFR
Dept. Total
826","161","3.599","51.6","23.6","13.7","3.1","1.9","1.2","",".","5.0","",".",".","",".","",".","",".",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","1","1.000",".",".",".",".",".","100.0","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","1","1.000",".",".",".",".",".","100.0","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","3","4.000","66.7",".",".",".",".",".","",".","33.3","",".",".","",".","",".","",".",".",".","."
"Graduate","152","3.614","51.3","24.3","13.8","3.3","2.0","0.7","",".","4.6","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","4","3.750","75.0",".","25.0",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","1","3.500",".","100.0",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","5","3.700","60.0","20.0","20.0",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Dept. Total","161","3.599","51.6","23.6","13.7","3.1","1.9","1.2","",".","5.0","",".",".","",".","",".","",".",".",".","."
