"ENGR PROFESSIONAL DEVELO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"","101
001","197","3.513","22.3","57.4","15.7","2.0",".",".",".",".",".",".",".",".",".","2.0",".","0.5"
"","002
101","152","3.250","28.9","25.0","30.3","9.2","2.6","2.6","1.3",".",".",".",".",".",".",".",".","."
"Contemp Iss-Engr Profession","Course Total","349","3.397","25.2","43.3","22.1","5.2","1.1","1.1","0.6",".",".",".",".",".",".","1.1",".","0.3"
"","155
001","18","3.176","11.1","50.0","22.2","5.6",".",".","5.6","5.6",".",".",".",".",".",".",".","."
"","002
155","19","2.816","10.5","21.1","36.8","15.8","5.3","5.3","5.3",".",".",".",".",".",".",".",".","."
"","155
003","20","3.525","30.0","45.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
004","20","3.150","20.0",".","70.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","155
005","20","3.450","25.0","60.0","10.0",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"","006
155","16","3.156","6.3","37.5","43.8","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","155
007","22","3.614","59.1","27.3","4.5","4.5",".","4.5",".",".",".",".",".",".",".",".",".","."
"","155
008","18","2.889","11.1",".","50.0","33.3","5.6",".",".",".",".",".",".",".",".",".",".","."
"","155
009","22","3.091","4.5","36.4","36.4","18.2","4.5",".",".",".",".",".",".",".",".",".",".","."
"","155
010","22","3.659","36.4","59.1","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
011","20","3.100","5.0","40.0","30.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","155
012","20","3.550","20.0","70.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
013","21","3.381","23.8","38.1","33.3",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Basic Communication","Course Total","258","3.286","20.9","37.6","28.3","8.5","2.3","1.2","0.8","0.4",".",".",".",".",".",".",".","."
"Introduction to Engineering","160
001","224","3.594","46.0","31.7","18.3","2.7","0.4","0.4",".",".",".",".",".",".","0.4",".",".","."
"Teams & Engr Profession","265
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
001","20","3.750","55.0","40.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
002","20","3.475","65.0","5.0","5.0","10.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"","275
003","18","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Presentations","Course Total","58","3.655","56.9","31.0","3.4","3.4","5.2",".",".",".",".",".",".",".",".",".",".","."
"","307
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
307","14","3.250","14.3","7.1","14.3",".","7.1",".",".",".",".",".",".",".","14.3",".","42.9","."
"Japanese Lang&Cult-Prof I","Course Total","15","3.250","13.3","6.7","13.3",".","6.7",".",".","6.7",".",".",".",".","13.3",".","40.0","."
"","330
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","330
002","10","3.611","50.0","10.0","30.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Basic Technical Japanese I","Course Total","13","3.708","61.5","7.7","23.1",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","374
001","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","374
002","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Intermed Tech Japanese I","Course Total","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Elems: Comp-Assist Publishg","395
001","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Communication","397
001","133","3.439","33.8","32.3","24.1","6.0","0.8","1.5",".",".",".",".",".",".",".","1.5",".","."
"Tech Communications Intrshp","398
001","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Junior Independent Study","399
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Technical Editing","497
001","13","3.833","61.5","30.8",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","499
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Independent Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"Tech&Professnl Communicatn","597
001","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
001","23","3.739","82.6","8.7","4.3",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"","690
003","10","4.000","90.0",".",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Special Topics in E P D","Course Total","33","3.854","84.8","6.1","3.0",".",".",".","3.0","3.0",".",".",".",".",".",".",".","."
