"EGR","","","","","","","","","","","","","","","","","","","",""
"ELECTRICAL AND COMPUTER E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","",""
"","330
001","","45","2.889","11.1","20.0","37.8","6.7","20.0","4.4",".",".",".",".",".",".",".",".",".","."
"","330
002","","42","2.833","31.0","11.9","11.9","7.1","28.6","7.1","2.4",".",".",".",".",".",".",".",".","."
"Signals and Systems","Course Total","","87","2.862","20.7","16.1","25.3","6.9","24.1","5.7","1.1",".",".",".",".",".",".",".",".","."
"Feedback Control Systems","001
332","","27","2.685","22.2","11.1","7.4","22.2","29.6","3.7","3.7",".",".",".",".",".",".",".",".","."
"Communication Systems","333
001","","25","2.820","20.0","20.0","12.0","16.0","28.0",".","4.0",".",".",".",".",".",".",".",".","."
"","335
001","","32","3.031","25.0","12.5","34.4","12.5","12.5",".","3.1",".",".",".",".",".",".",".",".","."
"","335
002","","45","2.867","20.0","11.1","33.3","11.1","20.0",".","4.4",".",".",".",".",".",".",".",".","."
"Microelectronic Devices","Course Total","","77","2.935","22.1","11.7","33.8","11.7","16.9",".","3.9",".",".",".",".",".",".",".",".","."
"","340
001","","37","2.972","10.8","21.6","29.7","21.6","13.5",".",".","2.7",".",".",".",".",".",".",".","."
"","340
002","","36","2.800","5.6","25.0","38.9","13.9","2.8","5.6","5.6","2.8",".",".",".",".",".",".",".","."
"Electronic Circuits I","Course Total","","73","2.887","8.2","23.3","34.2","17.8","8.2","2.7","2.7","2.7",".",".",".",".",".",".",".","."
"","342
001","","29","2.914","24.1","6.9","37.9","10.3","13.8","3.4","3.4",".",".",".",".",".",".",".",".","."
"","342
003","","7","2.800",".","28.6","14.3",".","28.6",".",".","28.6",".",".",".",".",".",".",".","."
"","342
004","","14","2.464",".","7.1","50.0",".","35.7",".","7.1",".",".",".",".",".",".",".",".","."
"Electronic Circuits II","Course Total","","50","2.771","14.0","10.0","38.0","6.0","22.0","2.0","4.0","4.0",".",".",".",".",".",".",".","."
"","350
001","","17","3.824","70.6","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","350
002","","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","350
003","","16","3.438","12.5","68.8","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","004
350","","18","3.528","38.9","33.3","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Professional Expression","Course Total","","68","3.676","51.5","35.3","10.3","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"","351
001","","10","3.500","40.0","20.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
351","","7","3.357","14.3","42.9","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
003","","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
351","","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
351","","9","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
006","","10","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
007","","10","3.500","30.0","30.0","30.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Digital Logic Laboratory","Course Total","","62","3.549","35.5","37.1","25.8",".",".",".",".","1.6",".",".",".",".",".",".",".","."
"","352
001","","36","3.139","27.8","25.0","27.8","8.3","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"","352
002","","51","3.010","19.6","15.7","43.1","5.9","11.8",".","3.9",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","","87","3.063","23.0","19.5","36.8","6.9","9.2",".","4.6",".",".",".",".",".",".",".",".","."
"Intro to Microprocessor Sys","353
001","","43","2.756","14.0","18.6","25.6","11.6","20.9","7.0","2.3",".",".",".",".",".",".",".",".","."
"","354
001","","19","2.632","21.1","21.1","10.5","10.5","21.1","5.3","10.5",".",".",".",".",".",".",".",".","."
"","354
002","","7","3.286","28.6","42.9",".","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","354
003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","Course Total","","31","2.887","19.4","32.3","12.9","9.7","16.1","3.2","6.5",".",".",".",".",".",".",".",".","."
"","355
001","","10","2.700","10.0","10.0","30.0","10.0","40.0",".",".",".",".",".",".",".",".",".",".","."
"","355
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","355
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Electromech Energy Conversn","Course Total","","13","2.792","7.7","15.4","30.8","7.7","30.8",".",".",".",".",".",".",".","7.7",".",".","."
"","370
001","","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
002","","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
003","","11","3.591","45.5","27.3","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
004","","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 116 of 370",""
