"DAIRY SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"292
DY SCI","","","","","","","","","","","","","","","","","","","",""
"101
Livestock Production","001","","28","2.982","17.9","10.7","50.0","7.1","10.7",".","3.6",".",".",".",".",".",".",".",".","."
"299","017","","6","3.929","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","8","3.950","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"305
Lactation","001","","15","3.233","26.7","20.0","33.3","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"311
Comparative Animal Nutritn","001","","22","2.250",".","4.5","9.1","27.3","54.5","4.5",".",".",".",".",".",".",".",".",".","."
"313","001","","9","3.278","44.4",".","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"313","002","","9","3.444","44.4","22.2","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Animal Feeds&Diet Formulatn","Course Total","","18","3.361","44.4","11.1","22.2","16.7","5.6",".",".",".",".",".",".",".",".",".",".","."
"370
Livestck Prod&Hlth-Ag Dvlpm","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"466
Dairy Cattle Breeding","001","","12","3.318","25.0","25.0","33.3",".","8.3",".",".","8.3",".",".",".",".",".",".",".","."
"690
Proseminar","001","","18","3.472","38.9","33.3","16.7","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799
Pract-Dairy Science Tchng","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"875","002","","10","3.500","30.0","30.0","30.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","12","3.571","33.3","25.0","25.0",".",".",".",".","8.3",".",".",".",".",".",".","8.3","."
"900","001","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"900","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"900","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"900","004","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar","Course Total","","25","4.000","64.0",".",".",".",".",".",".","36.0",".",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","19","4.000","57.9",".",".",".",".",".",".","26.3",".",".",".","15.8",".",".",".","."
