"REHAB PSYCH & SPECIAL EDU","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","","",""
"","300","001","","97","3.902","85.6","11.3","1.0","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"","300","002","","103","3.966","94.2","3.9",".","1.0",".",".",".",".",".",".",".",".",".",".","1.0","."
"Individls with Disabilities","","Course Total","","200","3.935","90.0","7.5","0.5","1.5",".",".",".",".",".",".",".",".",".",".","0.5","."
"Behav Anal:Person-Disabilty","330","001","","32","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","340","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","340","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Assess Stdts-Special Needs","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Prepracticum: Special Educ","360","015","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Lang & Learn Disabil","410","001","","55","3.818","70.9","23.6","3.6","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"Curr&Meth:Behav/Emo Dis,K-9","421","001","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Curr&Mth:Behav/Emo Dis,6-12","422","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Mgmt:Stdts-Behav/Emotnl Dis","423","001","","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pract:Behavrl/Emotnl Disabl","425","015","","14","3.917","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Curr&Mth:Erl Chldhd Spec Ed","431","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pract:Early Chldhd Spec Ed","435","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intellectual Disabilities","440","001","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Curric&Meth: Intel Dis, K-9","441","004","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Curric&Meth:Intel Dis, 6-12","442","004","","8","3.591","62.5","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Prac-Intellect Disabilities","445","004","","12","3.853","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rehab-Cnslg Psych: Foundatn","500","001","","47","3.904","89.4","2.1","8.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rehab-Cnslg Psych: Applcatn","501","001","","16","3.664","43.8","43.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","506","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Strategy-Inclusive Schoolng","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Rehab Psych-Occup Aspects","530","001","","31","3.839","71.0","25.8","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assessmnt Adults-Disablties","540","001","","23","3.413","17.4","60.9","8.7","13.0",".",".",".",".",".",".",".",".",".",".",".","."
"Rehab Psych-Psycho-Soc Asp","560","001","","53","3.915","96.2","1.9",".",".",".",".","1.9",".",".",".",".",".",".",".",".","."
"","630","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","630","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","630","018","","18","3.904","88.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrshp-Rehab or Spec Educ","","Course Total","","20","3.909","90.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Augmentative Commun","631","001","","13","3.385","38.5","23.1","23.1","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"Workng-Fam Chldrn Disabil","650","001","","40","3.850","72.5","25.0","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","690","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","690","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","","Course Total","","11","3.978","81.8","9.1",".",".",".",".",".",".",".",".",".","9.1",".",".",".","."
"","699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
