"","990
070","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
073","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
201","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"Research","Course Total","77","3.958","72.7",".","2.6",".",".",".",".","22.1","",".",".","",".","2.6","",".",".",".","."
"MICROBIO
192","Dept. Total","1269","3.163","36.1","15.8","23.5","9.8","9.5","1.7","0.9","2.4","",".",".","",".","0.2","",".","0.1","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","","","","",""
"","","2","3.167","50.0",".","50.0",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Freshmen","","6","2.900",".","33.3","16.7","50.0",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","61","2.436","4.9","6.6","29.5","16.4","36.1","4.9","1.6",".","",".",".","",".",".","",".",".",".","."
"Junior","","324","2.856","16.7","16.7","32.1","14.5","13.3","3.4","2.8","0.3","",".",".","",".",".","",".","0.3",".","."
"Senior","","411","3.227","29.9","23.4","27.3","8.5","9.0","1.2","0.5","0.2","",".",".","",".",".","",".",".",".","."
"Undergraduates","","802","3.016","22.4","19.5","29.3","11.8","12.7","2.4","1.5","0.2","",".",".","",".",".","",".","0.1",".","."
"Special","","21","3.189","28.6","28.6","19.0","9.5","4.8","4.8",".",".","",".",".","",".",".","",".",".","4.8","."
"Graduate","","371","3.726","71.2","7.3","11.3","1.3","0.8",".",".","7.5","",".",".","",".","0.5","",".",".",".","."
"Prof Yr 1","","68","2.772","10.3","14.7","20.6","30.9","22.1","1.5",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 2","","4","3.125",".","50.0","25.0","25.0",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 3","","1","3.000",".",".","100.0",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Professionals","","73","2.795","9.6","16.4","21.9","30.1","20.5","1.4",".",".","",".",".","",".",".","",".",".",".","."
"","Dept. Total","1269","3.163","36.1","15.8","23.5","9.8","9.5","1.7","0.9","2.4","",".",".","",".","0.2","",".","0.1","0.1","."
