"CONSUMER SCIENCE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","","","",""
"","275","001","","50","2.690","8.0","6.0","24.0","40.0","22.0",".",".",".",".",".",".",".",".",".",".","."
"","275","002","","49","2.917","12.2","12.2","30.6","32.7","10.2",".",".","2.0",".",".",".",".",".",".",".","."
"Consumer Finance","","Course Total","","99","2.801","10.1","9.1","27.3","36.4","16.2",".",".","1.0",".",".",".",".",".",".",".","."
"Retailing Theory & Practice","357","001","","30","3.650","50.0","40.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Comp Applicatns-Retailing","370","001","","15","3.200","33.3","20.0","20.0","6.7","20.0",".",".",".",".",".",".",".",".",".",".","."
"Consumer Investgtv Reportng","430","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Family Economics","475","001","","31","3.823","74.2","19.4","3.2","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"The Consumer and the Market","477","001","","26","3.220","30.8","11.5","30.8","15.4","7.7",".",".",".",".",".",".",".",".","3.8",".","."
"Retail Promotion","560","001","","26","3.596","46.2","34.6","15.4",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"Direct Retailing","561","001","","20","3.925","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"International Retailing","562","001","","14","3.464","35.7","42.9","7.1","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Consumer Science","565","001","","19","3.658","57.9","15.8","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Science Internship","601","015","","16","3.851","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Experience-Retailing","602","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Retailing Internship","603","015","","6","3.717","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Consumer Finance","627","001","","15","3.433","46.7","13.3","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Economc Organizatn-Househld","648","001","","6","2.833","33.3","33.3",".",".","16.7",".","16.7",".",".",".",".",".",".",".",".","."
"Consumer Behavior","657","001","","38","3.145","5.3","36.8","42.1","13.2","2.6",".",".",".",".",".",".",".",".",".",".","."
"","699","005","","19","3.800","68.4","21.1","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","20","3.826","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"","999","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","3","***","","","","","","","","","","","","","","","",""
