"ENVIR ST - GAYLORD NELSON I","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Environmental Geology","106","001","16","2.406","6.3",".","31.3","6.3","50.0","6.3",".",".",".",".",".",".",".",".",".","."
"Envr St-Humanistic Perspctv","113","001","238","3.326","24.4","37.0","25.6","7.6","3.4","0.4","0.8",".",".",".",".",".",".","0.8",".","."
"","120","001","28","2.750","14.3","32.1","25.0","3.6","7.1","7.1","10.7",".",".",".",".",".",".",".",".","."
"","120","002","14","3.286","7.1","57.1","28.6",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Global Phys Environments","","Course Total","42","2.929","11.9","40.5","26.2","2.4","7.1","4.8","7.1",".",".",".",".",".",".",".",".","."
"Atmspherc Envirnmnt&Society","121","001","22","3.614","59.1","18.2","13.6","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"Principles-Envrnmtl Science","126","001","41","3.793","75.6","14.6","4.9","2.4","2.4",".",".",".",".",".",".",".",".",".",".","."
"","127","001","9","2.667","11.1","11.1","22.2","11.1","44.4",".",".",".",".",".",".",".",".",".",".","."
"","127","002","26","3.288","34.6","23.1","19.2","11.5","11.5",".",".",".",".",".",".",".",".",".",".","."
"Physical Systems of Envr","","Course Total","35","3.129","28.6","20.0","20.0","11.4","20.0",".",".",".",".",".",".",".",".",".",".","."
"Global Chg: Atmospheric Iss","171","001","7","3.553","42.9","42.9",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","199","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","075","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Insects and Human Culture","201","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Soil: Ecosystem & Resource","230","001","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Aerial Photo Systems","301","001","8","3.375","25.0","25.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elec-op&Micro Remote Sensng","302","001","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Remote Sensng Digtl Image","303","001","11","3.278","36.4","18.2",".","9.1","18.2",".",".",".",".",".",".",".",".","18.2",".","."
"Remote Sensng Vis Image&GIS","304","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Limnology-Aquatic Resources","315","001","13","3.375","53.8","7.7","15.4",".","7.7","7.7",".","7.7",".",".",".",".",".",".",".","."
"Soils and Envrnmtl Quality","324","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Analysis of Physical Envr","325","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","339","001","44","3.091","13.6","36.4","22.7","13.6","11.4","2.3",".",".",".",".",".",".",".",".",".","."
"","339","002","36","2.986","11.1","25.0","25.0","27.8","5.6","2.8",".","2.8",".",".",".",".",".",".",".","."
"Environmental Conservation","","Course Total","80","3.044","12.5","31.3","23.8","20.0","8.8","2.5",".","1.3",".",".",".",".",".",".",".","."
"Environmental Economics","343","001","26","3.427","42.3","26.9","11.5",".","11.5",".",".","7.7",".",".",".",".",".",".",".","."
"Extinction of Species","360","001","13","2.846","7.7","23.1","30.8","23.1","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"Envr Law, Toxic Subst&Consv","368","001","77","3.068","10.4","24.7","35.1","16.9","7.8",".",".","2.6",".",".",".",".",".","2.6",".","."
"Intro to Geog Info Systems","377","001","6","3.600","33.3","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"","400","001","6","3.083","16.7","33.3","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"","400","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","400","003","6","3.250","16.7","50.0","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Environ Studies","","Course Total","13","3.136","15.4","38.5","23.1","7.7","15.4",".",".",".",".",".",".",".",".",".",".","."
"Geom Anal-Vert Aerial Photo","403","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Remote Sensng Instrumentatn","406","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Energy Resources","411","001","12","3.136","33.3","8.3","16.7","16.7","16.7",".",".",".",".",".",".",".",".","8.3",".","."
"Environmental Ethics","441","001","36","2.914","22.2","5.6","27.8","16.7","25.0",".",".","2.8",".",".",".",".",".",".",".","."
"Philos Prblms-Biol Sciences","523","001","7","3.357","42.9","28.6",".","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","600","001","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","002","18","3.694","55.6","27.8","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Envir Studies Cert Seminar","","Course Total","37","3.838","75.7","16.2","8.1",".",".",".",".",".",".",".",".",".",".",".",".","."
