"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"Introduction-Dramatic Arts","120
001","332","3.248","29.5","24.1","29.8","8.1","4.8","3.0","0.6",".",".",".",".",".",".",".",".","."
"Voice Training","140
001","18","3.833","72.2","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
001","20","3.475","60.0","15.0","10.0",".","10.0","5.0",".",".",".",".",".",".",".",".",".","."
"","002
150","19","3.917","84.2","5.3","5.3",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","003
150","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
004","17","3.765","76.5","11.8","5.9",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","005
150","18","3.833","72.2","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
006","17","3.294","64.7","5.9","5.9","5.9","5.9","5.9","5.9",".",".",".",".",".",".",".",".","."
"","007
150","19","3.053","57.9",".","5.3","10.5","10.5","10.5","5.3",".",".",".",".",".",".",".",".","."
"","150
009","14","3.821","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
010","17","3.882","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Acting","Course Total","158","3.653","72.2","12.7","5.1","1.9","3.8","2.5","1.3","0.6",".",".",".",".",".",".",".","."
"","161
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","161
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
003","8","3.500","37.5","37.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","161
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
007","8","3.375","25.0","50.0","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","161
008","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
009","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Backstage Laboratory I","Course Total","45","3.800","75.6","15.6","4.4","2.2","2.2",".",".",".",".",".",".",".",".",".",".","."
"Fund-Stage Mkup,Hair,Costum","001
163","17","3.430","41.2","29.4","17.6",".","11.8",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Stagecraft","170
001","17","3.082","23.5","17.6","29.4","5.9","23.5",".",".",".",".",".",".",".",".",".",".","."
"Writing-Theatre&Performance","200
001","18","3.028","16.7","5.6","55.6","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"World Drama and Theatre","221
001","38","3.395","31.6","34.2","18.4","13.2","2.6",".",".",".",".",".",".",".",".",".",".","."
"Problems in Acting","250
001","14","3.179","35.7","21.4","28.6",".","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"History: Stage Costume","327
001","30","3.345","26.7","33.3","20.0","13.3","3.3",".",".","3.3",".",".",".",".",".",".",".","."
"Intro-Africn-Amer Performnc","329
001","29","3.697","55.2","24.1","20.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mask and Movement","340
001","17","3.471","35.3","41.2","11.8","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"Fund-Asian Stage Discipline","351
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Backstage Laboratory II","361
001","14","3.833","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
001","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
362","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
003","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
004","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
005","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drama in Ed:Pre-Middle Schl","Course Total","50","3.940","88.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stage Lighting I","366
001","12","3.263","16.7","25.0","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Drafting for the Theatre","370
001","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Set Design I","372
001","12","3.338","8.3","66.7","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Stage Management","379
001","10","3.650","50.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theatre and Society","420
001","23","3.659","39.1","47.8","8.7",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 297 of 370",""
