"BOTANY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","",""
"Plants, Parasites, & People","123","001","86","3.256","18.6","39.5","31.4","2.3","5.8","1.2","1.2",".",".",".",".",".",".",".",".","."
"General Botany","130","001","196","2.595","16.3","9.7","29.1","6.6","21.9","11.2","4.6",".",".",".",".",".","0.5",".",".","."
"","151","001","14","3.143","21.4","28.6","28.6",".","21.4",".",".",".",".",".",".",".",".",".",".","."
"","151","002","19","2.868","10.5","26.3","31.6","10.5","15.8",".","5.3",".",".",".",".",".",".",".",".","."
"Introductory Biology","","Course Total","33","2.985","15.2","27.3","30.3","6.1","18.2",".","3.0",".",".",".",".",".",".",".",".","."
"Introductory Biology","152","001","19","2.711","10.5","5.3","47.4","10.5","15.8","10.5",".",".",".",".",".",".",".",".",".","."
"Heredity","160","001","16","2.844","31.3","12.5","12.5","6.3","25.0","12.5",".",".",".",".",".",".",".",".",".","."
"Plants and Man","240","001","95","3.002","21.1","9.5","41.1","10.5","14.7","3.2",".",".",".",".",".",".",".",".",".","."
"Introductory Ecology","260","001","78","3.071","26.9","17.9","24.4","14.1","11.5","5.1",".",".",".",".",".",".",".",".",".","."
"Plant Anatomy","300","001","34","3.029","23.5","11.8","41.2",".","20.6","2.9",".",".",".",".",".",".",".",".",".","."
"Microtechnique","329","001","10","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Algae","330","001","15","3.867","86.7","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Plant Systematics","400","001","64","3.367","46.9","7.8","32.8","6.3","3.1","1.6","1.6",".",".",".",".",".",".",".",".","."
"","402","001","11","3.364","63.6",".","9.1",".","27.3",".",".",".",".",".",".",".",".",".",".","."
"","402","002","7","3.357","42.9",".","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Dendrology","","Course Total","18","3.361","55.6",".","22.2","5.6","16.7",".",".",".",".",".",".",".",".",".",".","."
"The Vegetation of Wisconsin","455","001","35","3.439","37.1","20.0","28.6","5.7","2.9",".",".","5.7",".",".",".",".",".",".",".","."
"General Ecology","460","001","22","3.409","27.3","27.3","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"General Genetics","466","001","12","2.708","25.0",".","8.3","25.0","41.7",".",".",".",".",".",".",".",".",".",".","."
"Plant Biochemistry","621","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Capstone-Field Biology I","639","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","681","031","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","031","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","7","3.921","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","698","031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","6","3.455","66.7",".",".",".","16.7",".",".","16.7",".",".",".",".",".",".",".","."
"","699","024","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","20","3.838","85.0",".",".",".","5.0",".",".","5.0",".",".",".",".","5.0",".",".","."
"","858","001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","858","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","858","003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics-Plant Physiol","","Course Total","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Plant Taxonomy","940","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
