"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Amer Hist to Civil War Era","101","001","126","2.847","15.1","11.9","27.8","24.6","15.1","3.2","0.8",".",".",".",".",".",".","1.6",".","."
"","102","001","186","3.311","29.6","26.3","29.6","8.6","3.8","1.1","0.5","0.5",".",".",".",".",".",".",".","."
"","102","002","172","3.063","16.3","26.2","29.1","14.0","8.7","1.2","1.7","2.3",".",".",".",".",".","0.6",".","."
"Amer Hist-Civil War-Present","","Course Total","358","3.193","23.2","26.3","29.3","11.2","6.1","1.1","1.1","1.4",".",".",".",".",".","0.3",".","."
"Invasions&Empires:Cent Asia","106","001","62","3.242","30.6","27.4","24.2","8.1","6.5",".","3.2",".",".",".",".",".",".",".",".","."
"Medieval Europe 410-1500","115","001","102","2.815","15.7","12.7","33.3","12.7","18.6","3.9","2.9",".",".",".",".",".",".",".",".","."
"Europe&Mod World 1815-On","120","001","79","2.976","16.5","19.0","34.2","19.0","6.3",".","3.8","1.3",".",".",".",".",".",".",".","."
"Econ Dev of Western World","121","001","59","3.414","16.9","57.6","13.6","10.2",".",".",".",".",".",".",".",".",".","1.7",".","."
"English History to 1688","123","001","78","3.210","19.2","29.5","26.9","11.5","7.7","1.3",".","3.8",".",".",".",".",".",".",".","."
"History-S Asia to Present","142","001","37","3.637","59.5",".","35.1",".",".",".",".","2.7",".",".",".",".","2.7",".",".","."
"","199","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Historical Studies","200","002","13","3.423","23.1","38.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics-Amer History","201","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics-European Hist","202","002","9","3.167",".","55.6","33.3",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-3rd World Hist","203","001","12","2.292",".","8.3","25.0","16.7","41.7",".","8.3",".",".",".",".",".",".",".",".","."
"Islam Wrld:MidEast,500-1500","205","001","56","3.287","42.9","5.4","32.1",".","10.7","3.6",".","3.6",".",".",".",".","1.8",".",".","."
"Westrn Relig&Intellect Hist","208","001","44","3.159","15.9","38.6","31.8",".",".",".","6.8",".",".",".",".",".",".","6.8",".","."
"SE Asia:Vietnam to Philipns","244","001","48","3.630","54.2","31.3","2.1","6.3",".",".","2.1",".",".",".",".",".",".",".","2.1","2.1"
"American Business History","247","001","81","3.225","9.9","39.5","32.1","14.8","1.2",".",".","2.5",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","61","2.908","21.3","8.2","34.4","16.4","11.5","4.9","1.6",".",".",".",".",".","1.6",".",".","."
"Sch&Learning-Medieval World","311","001","35","3.439","37.1","20.0","31.4",".","5.7",".",".","5.7",".",".",".",".",".",".",".","."
"Intro-Byzantine History&Civ","313","001","22","2.467","13.6","22.7","13.6","18.2","13.6","4.5","13.6",".",".",".",".",".",".",".",".","."
"The Vietnam Wars","319","001","140","3.661","47.1","42.1","9.3","0.7",".",".","0.7",".",".",".",".",".",".",".",".","."
"Sci Revol:Copernicus-Newton","323","001","13","3.000","15.4","15.4","38.5",".","23.1",".",".",".",".",".",".",".",".","7.7",".","."
"The Renaissance","333","001","50","3.229","26.0","24.0","26.0","8.0","12.0",".",".","2.0",".",".",".",".","2.0",".",".","."
"The Catholic Reformation","335","001","46","3.196","34.8","17.4","17.4","4.3","13.0","4.3",".","2.2",".",".",".",".",".","2.2",".","4.3"
"Hist-China 589 AD-1919","337","001","41","3.457","36.6","31.7","19.5","9.8","2.4",".",".",".",".",".",".",".",".",".",".","."
"Politcl Hist-Modrn Olympics","346","001","131","3.233","16.8","26.0","41.2","11.5",".",".","0.8","3.1",".",".",".",".",".","0.8",".","."
"Intro:History-Caribbean Soc","347","001","40","3.408","32.5","30.0","20.0","7.5","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"Contemp France 1914-Present","349","001","44","3.435","29.5","34.1","27.3","4.5","2.3",".",".","2.3",".",".",".",".",".",".",".","."
"Eighteenth Century Europe","352","001","46","3.144","17.4","28.3","21.7","19.6","4.3","2.2",".","6.5",".",".",".",".",".",".",".","."
"Women-Amer Society: 1870 on","354","001","31","3.134","12.9","32.3","41.9","9.7",".",".","3.2",".",".",".",".",".",".",".",".","."
"Europe Betwn Wars,1919-1939","356","001","95","3.326","27.4","34.7","27.4","3.2","4.2","2.1","1.1",".",".",".",".",".",".",".",".","."
"The Anglo-Saxons","360","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Rev&Natlism-Ireland,1780-On","365","001","125","3.168","23.2","27.2","23.2","14.4","7.2","0.8","1.6","0.8",".",".",".",".",".",".",".","1.6"
"Soc-Shakespeares England","367","001","46","3.099","28.3","21.7","23.9","8.7","10.9",".","4.3",".",".",".",".",".","2.2",".",".","."
"History of Africa to 1500","376","001","27","2.462","7.4","7.4","22.2","22.2","33.3","3.7","3.7",".",".",".",".",".",".",".",".","."
"Hist of Africa Since 1870","378","001","55","3.153","12.7","21.8","43.6","10.9","3.6",".",".","3.6","3.6",".",".",".",".",".",".","."
