"LITERATURE IN TRANSLATION","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","",""
"","201
001","48","2.886","8.3","27.1","29.2","20.8","8.3","4.2","2.1",".",".",".",".",".",".",".",".","."
"","201
092","3","***","","","","","","","","","",".",".",".",".",".",".","."
"19&20th C Russn Lit Tran I","Course Total","51","2.857","9.8","27.5","27.5","19.6","7.8","3.9","3.9",".",".",".",".",".",".",".",".","."
"19&20 C Russian Lit Tran I","203
092","44","3.227","6.8","45.5","36.4","9.1","2.3",".",".",".",".",".",".",".",".",".",".","."
"Tolstoy in Translation","224
001","10","3.833","70.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","10.0",".","."
"Russian Life&Cult (to 1917)","233
001","27","3.589","44.4","40.7","7.4",".","7.4",".",".",".",".",".",".",".",".",".",".","."
"Bascom Crse-In Translation","236
001","13","3.385","30.8","38.5","15.4","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"Soviet Lit in Translation","240
001","14","2.929","28.6","28.6","14.3",".","14.3","7.1","7.1",".",".",".",".",".",".",".",".","."
"Lit & Culture-Eastrn Europe","241
001","22","3.659","63.6","18.2","9.1","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"Cervantes-DonQuixote:inTran","001
243","22","3.409","27.3","50.0","4.5","13.6","4.5",".",".",".",".",".",".",".",".",".",".","."
"Lit Tran:20c Fr Mastrpieces","250
001","17","2.971","11.8","23.5","41.2","5.9","11.8","5.9",".",".",".",".",".",".",".",".",".","."
"Lit:Image-Indiv Ital Renais","256
001","23","2.783","13.0","4.3","43.5","13.0","21.7","4.3",".",".",".",".",".",".",".",".",".","."
"Chinese Lit in Translation","261
001","36","2.833","27.8","16.7","19.4","11.1","5.6","16.7","2.8",".",".",".",".",".",".",".",".","."
"Japanese Lit in Translation","263
001","36","3.903","83.3","13.9","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Scand LitTran:Mid Ages-1900","271
001","165","3.153","7.9","43.0","30.3","10.3","6.1","1.8",".",".",".",".",".",".","0.6",".",".","."
"In Trans:K Hamsun&20C Novel","338
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Lit in Trans-Icelandic Saga","346
001","11","3.250","27.3","9.1","27.3","18.2",".",".",".","18.2",".",".",".",".",".",".",".","."
"Intro to Biblical Lit","361
001","21","2.952","9.5","28.6","33.3","9.5","14.3","4.8",".",".",".",".",".",".",".",".",".","."
"Hebrew Lit(in Eng)Medvl-Mod","362
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Israeli Fiction-Translation","367
001","24","2.979","25.0","8.3","29.2","12.5","25.0",".",".",".",".",".",".",".",".",".",".","."
"LITTRANS
551","Dept. Total","543","3.190","22.8","31.3","24.7","9.6","7.4","2.8","0.7","0.4",".",".",".",".","0.2","0.2",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","157","3.178","20.4","33.8","24.8","10.8","6.4","1.9","1.3",".",".",".",".",".","0.6",".",".","."
"Sophomore","","177","3.162","20.3","31.6","28.8","7.9","6.2","4.5","0.6",".",".",".",".",".",".",".",".","."
"Junior","","101","3.114","20.8","29.7","22.8","13.9","8.9","3.0","1.0",".",".",".",".",".",".",".",".","."
"Senior","","106","3.334","33.0","29.2","19.8","6.6","9.4","0.9",".",".",".",".",".",".",".","0.9",".","."
"Undergraduates","","541","3.190","22.9","31.4","24.8","9.6","7.4","2.8","0.7",".",".",".",".",".","0.2","0.2",".","."
"Special","","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Graduate","","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","Dept. Total","543","3.190","22.8","31.3","24.7","9.6","7.4","2.8","0.7","0.4",".",".",".",".","0.2","0.2",".","."
