"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","",""
"Introduction to Business","100
001","236","3.009","11.0","28.0","32.6","16.1","8.5","1.3","1.7","0.4",".",".",".",".",".",".",".","0.4"
"Directed Study","198
051","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","300
001","19","2.842","10.5","10.5","36.8","21.1","21.1",".",".",".",".",".",".",".",".",".",".","."
"","300
002","17","3.849","76.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
300","18","3.389","22.2","38.9","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","300
004","23","3.529","34.8","34.8","30.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
005","22","3.568","36.4","50.0","4.5","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","006
300","27","3.578","33.3","48.1","18.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
007","22","3.580","31.8","59.1","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","008
300","22","2.993","27.3",".","50.0","9.1","9.1",".","4.5",".",".",".",".",".",".",".",".","."
"","300
009","21","3.381","28.6","28.6","33.3","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"","010
300","22","3.591","40.9","40.9","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","300
011","29","3.438","20.7","51.7","20.7","6.9",".",".",".",".",".",".",".",".",".",".",".","."
"","300
012","26","3.753","61.5","26.9","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professional Communication","Course Total","268","3.466","35.1","35.1","21.6","5.6","2.2",".","0.4",".",".",".",".",".",".",".",".","."
"","301
001","121","2.744","14.0","9.9","33.1","6.6","31.4","5.0",".",".",".",".",".",".",".",".",".","."
"","002
301","202","2.901","16.3","12.4","37.6","6.4","25.2","2.0",".",".",".",".",".",".",".",".",".","."
"Business Law","Course Total","323","2.842","15.5","11.5","35.9","6.5","27.6","3.1",".",".",".",".",".",".",".",".",".","."
"","302
001","44","3.349","38.6","34.1","6.8","6.8","4.5","6.8",".","2.3",".",".",".",".",".",".",".","."
"","002
302","46","3.489","41.3","30.4","19.6","6.5",".","2.2",".",".",".",".",".",".",".",".",".","."
"Business Law","Course Total","90","3.421","40.0","32.2","13.3","6.7","2.2","4.4",".","1.1",".",".",".",".",".",".",".","."
"","303
001","125","3.644","56.0","22.4","16.8","4.0","0.8",".",".",".",".",".",".",".",".",".",".","."
"","303
002","128","3.587","50.8","21.1","23.4","1.6","2.3",".",".",".",".",".",".",".",".","0.8",".","."
"Business Statistics","Course Total","253","3.615","53.4","21.7","20.2","2.8","1.6",".",".",".",".",".",".",".",".","0.4",".","."
"Intermediate Bus Statistics","304
001","89","3.096","13.5","31.5","30.3","16.9","4.5","3.4",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","001
365","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","399
051","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
090","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdg & Rsch-Business Rsch","Course Total","2","***","","","","","","","","","","","","","","","",""
"","001
700","13","3.654","46.2","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
002","11","3.682","45.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
003","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
004","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
005","17","3.824","64.7","35.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
006","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
007","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managerial Communication","Course Total","83","3.771","59.0","36.1","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
701","24","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
701","28","3.768","64.3","25.0","10.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managing Legal Environment","Course Total","52","3.721","50.0","44.2","5.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","704
001","26","3.615","53.8","15.4","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","704
002","15","3.667","46.7","40.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Data Analysis for Managers","Course Total","41","3.634","51.2","24.4","24.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Statistical Methods I","706
001","58","3.440","27.6","39.7","31.0",".",".","1.7",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 51 of 370"
