"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","",""
"ENGLISH","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","","","",""
"Milton","435","001","","30","3.033","23.3","30.0","16.7","10.0","13.3","3.3","3.3",".",".",".",".",".",".",".",".","."
"English Novel: 19th Cent","460","001","","40","3.188","22.5","30.0","27.5","12.5","5.0",".","2.5",".",".",".",".",".",".",".",".","."
"Romantic Poetry","463","001","","31","3.000","19.4","29.0","35.5","3.2","3.2",".","9.7",".",".",".",".",".",".",".",".","."
"Outstnd Figures-19c Eng Lit","467","001","","40","3.577","55.0","17.5","17.5","5.0",".","2.5",".","2.5",".",".",".",".",".",".",".","."
"Jr Honors Seminar in Major","481","001","","18","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Maj Brit Novelists-1914-45","501","001","","36","3.515","38.9","36.1","16.7",".",".",".","2.8","5.6",".",".",".",".",".",".",".","."
"Recent British/Amer Poetry","512","009","","21","3.667","47.6","42.9","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Critical Theories","553","001","","27","3.389","29.6","37.0","18.5","11.1","3.7",".",".",".",".",".",".",".",".",".",".","."
"Studies in Narrative Lit","563","001","","39","2.645","12.8","10.3","30.8","12.8","20.5","5.1","5.1","2.6",".",".",".",".",".",".",".","."
"Topic-Women Writng&Fem Thry","574","001","","29","3.159","13.8","34.5","37.9","10.3",".",".","3.4",".",".",".",".",".",".",".",".","."
"Colnl&Early Romantic Am Lit","608","001","","13","3.269","15.4","38.5","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Major American Novelists","609","001","","35","2.939","11.4","31.4","25.7","14.3","2.9","2.9","5.7","2.9",".",".",".",".","2.9",".",".","."
"Three American Novelists","619","001","","26","3.200","15.4","23.1","42.3","15.4",".",".",".",".",".",".",".",".",".","3.8",".","."
"3 Amer Authors Before 1865","621","001","","38","3.114","26.3","13.2","31.6","13.2","2.6","2.6","2.6","2.6",".",".",".",".","2.6","2.6",".","."
"Theme in 19th C Amer Lit","626","001","","21","3.200","4.8","38.1","47.6",".","4.8",".",".",".",".",".",".",".","4.8",".",".","."
"Theme in 20th C Amer Lit","630","001","","13","3.292","23.1","38.5","7.7","15.4","7.7",".",".","7.7",".",".",".",".",".",".",".","."
"Figures of Contemp Amer Lit","631","001","","35","3.059","28.6","17.1","28.6","11.4",".","8.6","2.9","2.9",".",".",".",".",".",".",".","."
"Mod Amer Lit Since 1914","633","001","","30","3.500","36.7","33.3","20.0","3.3","3.3",".",".",".",".",".",".",".","3.3",".",".","."
"Maj Amer Novelists-1914-45","635","001","","34","3.189","26.5","17.6","32.4","14.7","8.8",".",".",".",".",".",".",".",".",".",".","."
"","681","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","107","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","118","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Honors Thesis in Major","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Sr Honors Thesis in Major","682","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","692","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"","699","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","060","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","114","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","124","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","13","3.757","69.2","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Composition Studies","700","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Discourse Analysis","710","001","","18","3.778","72.2","16.7","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
