"LIBRARY & INFORMATION STUD Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","","",""
"Info Agencies & Their Envir","450","001","","73","3.826","65.8","31.5","1.4",".",".",".",".","1.4",".",".",".",".",".",".",".","."
"Organization of Information","551","001","","29","3.672","41.4","51.7","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Use and Users","561","001","","49","3.604","42.9","40.8","8.2","4.1","2.0",".",".",".",".",".",".",".",".","2.0",".","."
"Information Sources","571","001","","53","3.840","67.9","32.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620","002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","","Course Total","","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Childrens Literature","622","001","","18","3.861","83.3","5.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"School Library/Media Center","641","001","","28","3.907","78.6","17.9",".",".",".",".",".","3.6",".",".",".",".",".",".",".","."
"Comm Media & Info Services","643","001","","25","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intellectual Freedom&Libr","645","001","","24","3.729","58.3","29.2","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cataloging & Classification","651","001","","39","3.526","35.9","38.5","20.5","5.1",".",".",".",".",".",".",".",".",".",".",".","."
"Hist-American Librarianship","672","001","","32","3.726","50.0","40.6","6.3",".",".",".",".",".",".",".",".",".",".","3.1",".","."
"Res Methods-Libr&Info Study","710","001","","14","3.917","71.4","14.3",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Suprvsn-Schl Lib/Media Ctrs","741","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Indexing","817","001","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reference & Info Service","825","001","","23","3.674","47.8","39.1","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"On-Line Reference&Info Serv","828","001","","27","3.741","55.6","37.0","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr: Fndations Lib&Info St","950","001","","6","3.700","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Probs-Archives: Manuscripts","976","001","","13","3.458","30.8","30.8","23.1","7.7",".",".",".",".",".",".",".",".","7.7",".",".","."
"","990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","019","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","14","3.956","64.3","7.1",".",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"","999","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","008","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading & Rsch","","Course Total","","18","4.000","94.4",".",".",".",".",".",".",".",".",".",".","5.6",".",".",".","."
