"","990
092","2","***","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
094","1","***","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
096","3","***","","","","","","","","","",".",".","",".",".","",".",".","."
"Research","Course Total","90","4.000","64.4",".",".",".",".",".",".","32.2",".",".","",".","2.2","",".","1.1",".","."
"PHYSICS
754","Dept. Total","2590","3.034","21.4","19.2","29.2","13.9","11.2","1.9","1.1","1.4","0.1",".","",".","0.1","",".","0.3","0.0","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","235","3.069","24.7","15.7","34.0","11.9","7.7","3.0","2.6",".",".",".","",".",".","",".",".",".","0.4"
"Sophomore","","876","2.917","13.8","18.5","34.8","16.2","13.5","1.9","0.9",".",".",".","",".",".","",".","0.3",".","."
"Junior","","832","3.053","19.7","21.5","28.1","16.6","10.8","1.9","0.7",".","0.2",".","",".",".","",".","0.4",".","."
"Senior","","394","3.023","23.9","20.6","25.1","11.7","13.7","2.5","2.0",".",".",".","",".",".","",".","0.5",".","."
"Undergraduates","","2337","2.997","18.7","19.6","30.7","15.1","12.0","2.1","1.2",".","0.1",".","",".",".","",".","0.3",".","0.0"
"Special","","37","3.100","27.0","29.7","8.1","16.2","16.2",".","2.7",".",".",".","",".",".","",".",".",".","."
"Graduate","","219","3.668","49.8","12.3","16.4","0.5","1.8",".",".","17.4",".",".","",".","0.9","",".","0.5","0.5","."
"","Dept. Total","2593","3.034","21.4","19.2","29.2","13.9","11.2","1.9","1.1","1.5","0.1",".","",".","0.1","",".","0.3","0.0","0.0"
