"L&S","","","","","","","","","","","","","","","","","","","","","","",""
"COMMUNICATIVE DISORDERS","Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","","","","",""
"COM DIS
252","Dept. Total","1142","3.534","47.5","27.5","15.4","4.8","2.9","0.4","",".","1.3","",".",".","",".","",".","0.1",".",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","62","3.040","14.5","21.0","38.7","9.7","16.1",".","",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","135","3.270","26.7","29.6","25.9","10.4","5.9","1.5","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","246","3.501","39.8","32.1","18.7","4.9","3.7",".","",".","0.8","",".",".","",".","",".",".",".",".","."
"Senior","","231","3.461","41.6","29.4","17.7","6.9","2.6","0.9","",".","0.9","",".",".","",".","",".",".",".",".","."
"Undergraduates","","674","3.393","35.5","29.7","21.7","7.1","4.9","0.6","",".","0.6","",".",".","",".","",".",".",".",".","."
"Special","","42","3.647","50.0","28.6","11.9","4.8",".",".","",".","2.4","",".",".","",".","",".",".",".",".","2.4"
"Graduate","","426","3.777","66.2","23.9","5.9","1.2",".","0.2","",".","2.3","",".",".","",".","",".","0.2",".",".","."
"","Dept. Total","1142","3.534","47.5","27.5","15.4","4.8","2.9","0.4","",".","1.3","",".",".","",".","",".","0.1",".",".","0.1"
