"Intro to Undergrad Research","288
001","","9","4.000","100.0",".",".",".","",".",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"","375
001","","5","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","375
002","","18","3.722","77.8","11.1","5.6",".","",".","5.6",".","",".","",".","",".",".","",".","",".","",".",".","."
"Special Topics","Course Total","","23","3.761","78.3","13.0","4.3",".","",".","4.3","",".","",".","",".",".","",".","",".","",".",".",".","."
"INTER-AG
494","Dept. Total","","44","3.849","81.8","11.4","2.3",".","",".","2.3","",".","",".","",".",".","",".","",".","",".",".","2.3","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"494
INTER-AG","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","30","3.783","76.7","16.7","3.3",".","",".","3.3","",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","8","4.000","100.0",".",".",".","",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","5","4.000","100.0",".",".",".","",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","43","3.849","83.7","11.6","2.3",".","",".","2.3","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","1","",".",".",".",".","",".",".","",".","",".","",".",".","",".","",".","",".",".","100.0","."
"","Dept. Total","","44","3.849","81.8","11.4","2.3",".","",".","2.3","",".","",".","",".",".","",".","",".","",".",".","2.3","."
