"","999
063","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
064","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
087","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
088","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Work","Course Total","31","4.000","64.5",".",".",".",".",".",".","32.3",".",".","",".",".","3.2",".",".","."
"HISTORY
448","Dept. Total","3747","3.237","27.2","25.1","25.5","9.2","5.5","1.1","1.1","3.5","0.1","0.1","",".","0.6","0.4","0.6","0.1","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","364","3.108","23.1","21.2","28.3","14.8","8.2","1.1","1.6",".",".",".","",".",".","0.3","1.1",".","0.3"
"Sophomore","","779","3.106","20.4","25.7","28.5","13.4","7.3","2.1","1.5","0.3",".",".","",".",".","0.4","0.3",".","0.3"
"Junior","","1038","3.214","20.2","30.6","31.7","8.8","5.6","0.8","1.0","0.4",".","0.1","",".",".","0.2","0.7",".","."
"Senior","","1116","3.240","27.7","26.6","26.2","8.3","5.4","1.2","1.3","2.0","0.2","0.1","",".","0.2","0.1","0.6",".","0.3"
"Undergraduates","","3297","3.184","23.1","27.1","28.7","10.4","6.2","1.2","1.3","0.8","0.1","0.1","",".","0.1","0.2","0.6",".","0.2"
"Special","","47","3.637","40.4","17.0","12.8","2.1",".",".",".","21.3",".",".","",".",".",".","2.1","4.3","."
"Graduate","","403","3.909","58.8","9.7","0.5","0.7",".",".",".","22.8","0.2",".","",".","5.0","1.7","0.5",".","."
"","Dept. Total","3747","3.237","27.2","25.1","25.5","9.2","5.5","1.1","1.1","3.5","0.1","0.1","",".","0.6","0.4","0.6","0.1","0.2"
