"The Vikings","430
001","","19","3.026","10.5","36.8","21.1","10.5","21.1",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"Mediaeval Latin","563
001","","3","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Directed Study","699
012","","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Seminar:Topics-Medieval Lit","950
001","","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"MEDIEVAL
633","Dept. Total","","37","3.108","27.0","21.6","21.6","13.5","13.5","2.7","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"633
MEDIEVAL","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","3","3.167","33.3",".","33.3","33.3",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","13","2.927","15.4","23.1","23.1","15.4","15.4","7.7","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","14","2.900","7.1","28.6","28.6","14.3","21.4",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","30","2.935","13.3","23.3","26.7","16.7","16.7","3.3","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","2","3.714","50.0","50.0",".",".",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","5","4.000","100.0",".",".",".",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","37","3.108","27.0","21.6","21.6","13.5","13.5","2.7","",".","",".","",".",".","",".","",".","",".",".",".","."
