"COMMUNICATIVE DISORDERS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","","",""
"Intro to Communicative Dis","110","001","","98","3.124","21.4","19.4","33.7","11.2","13.3",".",".","1.0",".",".",".",".",".",".",".","."
"Introduction to Phonetics","200","001","","36","3.694","55.6","27.8","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Speech Science","201","001","","53","3.104","17.0","28.3","30.2","11.3","11.3","1.9",".",".",".",".",".",".",".",".",".","."
"Normal Aspects of Hearing","202","001","","60","3.050","20.0","28.3","18.3","18.3","10.0","5.0",".",".",".",".",".",".",".",".",".","."
"Speech & Lang Functs-Brain","210","001","","46","3.402","26.1","43.5","17.4","10.9","2.2",".",".",".",".",".",".",".",".",".",".","."
"Lang Devlp-Chld & Adolescnt","240","001","","96","3.543","41.7","34.4","12.5","7.3","2.1",".",".","1.0",".",".",".",".",".",".",".","1.0"
"Speech Acoustics,Perception","303","001","","71","3.549","43.7","29.6","19.7","7.0",".",".",".",".",".",".",".",".",".",".",".","."
"Speech Pathology I","315","001","","59","3.610","55.9","11.9","30.5","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"PreClin Obs-Chldrn & Adults","371","001","","53","3.439","22.6","50.9","22.6",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"","390","001","","15","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","390","002","","14","3.679","35.7","64.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Comm Disorders","","Course Total","","29","3.741","51.7","44.8","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hearing Conservation","421","001","","39","3.628","56.4","17.9","20.5","5.1",".",".",".",".",".",".",".",".",".",".",".","."
"","424","001","","16","3.571","31.3","37.5","18.8",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","424","002","","17","3.563","41.2","29.4","17.6","5.9",".",".",".","5.9",".",".",".",".",".",".",".","."
"Manually Coded English-SL I","","Course Total","","33","3.567","36.4","33.3","18.2","3.0",".",".",".","9.1",".",".",".",".",".",".",".","."
"Child Language Disorders","440","001","","33","3.364","39.4","18.2","27.3","6.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Neurl Mech Speech,Hear&Lang","503","001","","34","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Augmentative Commun","631","001","","7","3.571","14.3","85.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lang&Learn Disordrs-Childrn","640","001","","16","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"School Practicum in Com Dis","692","001","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","035","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","16","3.943","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Audiol-Speech/Lang Pathlgst","700","001","","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hearing Science","701","001","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dysphasia in Adults","712","001","","45","3.644","31.1","66.7","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mgt&Assessmt-Voice Disorder","717","001","","37","3.757","54.1","43.2","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Treatment of Stuttering","719","001","","29","3.655","34.5","62.1","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Diagnostic Audiology I","720","001","","14","3.071","7.1","21.4","50.0","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"Auditory Disorders in Child","723","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Acoustic-Immittance Measure","727","001","","8","3.313","25.0","25.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Aug Com Sys-Severly Handcp","731","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","002","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","003","","15","3.938","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 179 of 370",""
