"SOCIAL WORK","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","",""
"746
Intrdis Care-Chron Ill Chld","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"800","004","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"800","005","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"800","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"800","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"800","012","","14","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"800","013","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"800","018","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"800","027","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"800","037","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"800","039","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"800","045","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"800","050","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"800","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"800","070","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"800","072","","20","3.700","45.0","50.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Prac/Integrat Smr III","Course Total","","112","3.826","71.4","24.1","3.6",".","0.9",".",".",".",".",".",".",".",".",".",".","."
"801","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"801","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"801","072","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Pract/Integrat Smr IV","Course Total","","4","***","","","","","","","","","","","","","","","",""
"842
Consultatn&Suprvsn-Soc Work","001","","22","3.932","86.4","13.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"845
Case Management","001","","16","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"860
Recent Developmnts-Soc Work","001","","17","3.794","64.7","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"863
Soc Work","001","","13","3.458","38.5","15.4","30.8","7.7",".",".",".",".",".",".",".",".","7.7",".",".","."
"866
Recent Developmnts-Soc Work","001","","18","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"869
Recent Developmnts-Soc Work","001","","25","3.900","88.0","4.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"873
Spec Iss-Health Care Settng","001","","14","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"921
Child Welfare","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"923
Family Violence","001","","34","3.706","61.8","17.6","20.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"924
Family Problems & Soc Work","001","","12","3.727","50.0","33.3","8.3",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"928
Social Work and Alcoholism","001","","25","3.740","64.0","24.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"948
Proseminar","001","","9","3.625","33.3","44.4","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 281 of 370",""
