"MATHEMATICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","",""
"726
Nonlinear Progrmg Thry&Appl","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"735
Stochastic Differntl Equatn","001","","16","3.813","75.0","18.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"741
Abstract Algebra","001","","24","3.250","45.8","8.3","16.7","8.3","20.8",".",".",".",".",".",".",".",".",".",".","."
"745
Theory of Groups","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"751
Introductory Topology I","001","","8","3.750","50.0","12.5","12.5",".",".",".",".",".",".",".",".",".","25.0",".",".","."
"763
Intro to Algebraic Geometry","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"765
Differential Geometry","001","","10","3.722","60.0","10.0","20.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"770
Foundations of Mathematics","001","","11","2.700","9.1","18.2","18.2","18.2","18.2","9.1",".",".",".",".",".",".","9.1",".",".","."
"773
Recursion Theory","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"777
Nonlin Dyn,Bifurcatn,Chaos","001","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"801
Topics in Applied Math","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"812
Adv Meth of Appld Math","001","","16","3.500","37.5","31.3","18.8",".","6.3",".",".",".",".",".",".",".",".",".","6.3","."
"819
Partial Differential Equatn","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"827
Fourier Analysis","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"831
Theory of Probability","001","","8","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"843
Adv Topics-Rings & Algebras","001","","11","3.727","63.6","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"873
Adv Topics in Foundations","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875
Topics in Combinatorics","001","","15","4.000","93.3",".",".",".",".",".",".",".",".",".",".",".",".","6.7",".","."
"941","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"941","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"941","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Algebra","Course Total","","9","4.000","77.8",".",".",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"95","001","","15","2.500","46.7",".","13.3",".",".","6.7","26.7",".",".",".",".",".",".",".",".","6.7"
"95","003","","7","3.286","71.4",".","14.3",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"Fundamental Math Skills","Course Total","","22","2.762","54.5",".","13.6",".",".","4.5","22.7",".",".",".",".",".",".",".",".","4.5"
"951
Seminar in Topology","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"975
Seminar-Foundations of Math","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","089","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","103","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 242 of 370",""
