"FRENCH (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","",""
"","101
002","23","3.587","47.8","30.4","13.0","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","101
003","20","3.500","50.0","30.0",".","5.0","5.0","5.0",".","5.0",".",".",".",".",".",".",".","."
"","101
004","22","3.643","59.1","18.2","9.1","4.5","4.5",".",".","4.5",".",".",".",".",".",".",".","."
"","101
005","18","3.722","61.1","22.2","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
101","17","3.294","35.3","29.4","23.5","5.9",".",".","5.9",".",".",".",".",".",".",".",".","."
"","101
008","23","3.333","34.8","26.1","17.4","8.7",".",".","4.3","8.7",".",".",".",".",".",".",".","."
"","101
009","21","3.119","19.0","28.6","33.3","4.8","9.5","4.8",".",".",".",".",".",".",".",".",".","."
"","101
010","17","3.588","47.1","35.3","11.8",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","101
012","19","3.342","31.6","26.3","26.3","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"","101
013","15","3.536","46.7","20.0","20.0",".","6.7",".",".",".",".",".",".",".",".","6.7",".","."
"","101
014","16","3.500","25.0","31.3","12.5","6.3",".",".",".","12.5",".",".",".",".",".",".","12.5","."
"First Semester French","Course Total","211","3.465","41.7","27.0","16.6","5.2","3.3","0.9","0.9","2.8",".",".",".",".",".","0.5","0.9","."
"","102
001","18","3.417","27.8","38.9","27.8",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","102
002","20","3.400","30.0","35.0","25.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","003
102","24","3.375","41.7","29.2","12.5","4.2","8.3","4.2",".",".",".",".",".",".",".",".",".","."
"","102
005","18","3.471","27.8","38.9","22.2","5.6",".",".",".",".",".",".",".",".",".","5.6",".","."
"","102
006","21","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
008","21","3.524","38.1","38.1","14.3","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"","102
010","16","3.500","62.5","6.3",".",".","6.3",".","6.3","18.8",".",".",".",".",".",".",".","."
"Second Semester French","Course Total","138","3.519","44.9","29.0","14.5","3.6","3.6","0.7","0.7","2.2",".",".",".",".",".","0.7",".","."
"First Sem French Honors","181
001","15","3.833","73.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
001","18","3.529","50.0","33.3","5.6",".",".",".","5.6",".",".",".",".",".",".",".",".","5.6"
"","203
002","19","3.395","42.1","10.5","31.6","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"","003
203","21","3.452","33.3","38.1","19.0","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"","203
004","21","3.310","19.0","38.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","203
005","22","3.318","36.4","27.3","13.6","9.1","13.6",".",".",".",".",".",".",".",".",".",".","."
"","203
006","19","3.526","31.6","52.6","5.3","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","203
007","20","3.050","35.0","20.0","20.0",".","15.0","5.0","5.0",".",".",".",".",".",".",".",".","."
"","203
008","20","3.450","20.0","50.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
009","23","3.348","30.4","34.8","17.4","8.7","8.7",".",".",".",".",".",".",".",".",".",".","."
"","203
010","23","3.543","26.1","56.5","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
011","19","3.579","31.6","57.9","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","203
013","15","3.567","46.7","20.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
014","10","3.200",".","60.0","30.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Third Semester French","Course Total","250","3.408","31.6","38.0","19.2","5.6","4.0","0.4","0.8",".",".",".",".",".",".",".",".","0.4"
"","204
001","23","3.714","39.1","52.2",".",".",".",".",".","8.7",".",".",".",".",".",".",".","."
"","204
002","20","3.425","25.0","45.0","25.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","004
204","21","3.476","42.9","28.6","14.3","9.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"","204
006","21","3.333","28.6","38.1","28.6",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"","204
007","26","3.327","23.1","26.9","42.3","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","204
010","19","3.294","15.8","26.3","42.1","5.3",".",".",".","5.3",".",".",".",".",".","5.3",".","."
"","204
012","20","2.900",".","25.0","40.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","204
013","13","2.542","7.7","7.7","30.8","15.4","23.1",".","7.7","7.7",".",".",".",".",".",".",".","."
"Fourth Semester French","Course Total","163","3.294","23.9","32.5","27.6","7.4","4.3",".","1.2","2.5",".",".",".",".",".","0.6",".","."
"","227
001","22","3.386","36.4","31.8","27.3",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 202 of 370",""
